Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2000-05-06
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2000-05-31;null;
2000-06-30;0;
2000-07-31;.2;
2000-08-31;52.6;
2000-09-30;null;
2000-10-31;189.2;
2000-11-30;225.2;
2000-12-31;null;
2001-01-31;null;
2001-02-28;98.2;
2001-03-31;201.2;
2001-04-30;141.2;
2001-05-31;35.6;
2001-06-30;0;
2001-07-31;13.6;
2001-08-31;null;
2001-09-30;null;
2001-10-31;135.2;
2001-11-30;null;
2001-12-31;null;
2002-01-31;null;
2002-02-28;null;
2002-03-31;120.8;
2002-04-30;91.6;
2002-05-31;17.8;
2002-06-30;null;
2002-07-31;5.4;
2002-08-31;null;
2002-09-30;null;
2002-10-31;null;
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;null;
2003-05-31;9;
2003-06-30;0;
2003-07-31;.2;
2003-08-31;null;
2003-09-30;11;
2003-10-31;55.2;
2003-11-30;183.4;
2003-12-31;158.8;
2004-01-31;333.8;
2004-02-29;null;
2004-03-31;169.8;
2004-04-30;126.6;
2004-05-31;null;
2004-06-30;0;
2004-07-31;0;
2004-08-31;0;
2004-09-30;0;
2004-10-31;107.6;
2004-11-30;102.8;
2004-12-31;122.6;
2005-01-31;245.4;
2005-02-28;245.2;
2005-03-31;372;
2005-04-30;27.4;
2005-05-31;9;
2005-06-30;5.8;
2005-07-31;0;
2005-08-31;37.6;
2005-09-30;52.4;
2005-10-31;null;
2005-11-30;224.8;
2005-12-31;390.4;
2006-01-31;118.6;
2006-02-28;null;
2006-03-31;264;
2006-04-30;null;
2006-05-31;null;
2006-06-30;.8;
2006-07-31;.2;
2006-08-31;50.6;
2006-09-30;40.6;
2006-10-31;435.4;
2006-11-30;171.8;
2006-12-31;132.8;
2007-01-31;245.4;
2007-02-28;260.2;
2007-03-31;36.4;
2007-04-30;51.8;
2007-05-31;null;
2007-06-30;0;
2007-07-31;0;
2007-08-31;0;
2007-09-30;0;
2007-10-31;23.2;
2007-11-30;null;
2007-12-31;268;
2008-01-31;206.8;
2008-02-29;228.8;
2008-03-31;220.8;
2008-04-30;203.6;
2008-05-31;.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;80;
2008-10-31;36.4;
2008-11-30;272.2;
2008-12-31;322.8;
2009-01-31;206.6;
2009-02-28;null;
2009-03-31;81.2;
2009-04-30;372.4;
2009-05-31;60.2;
2009-06-30;10;
2009-07-31;0;
2009-08-31;17.2;
2009-09-30;47.4;
2009-10-31;271.6;
2009-11-30;190.2;
2009-12-31;null;
2010-01-31;100.2;
2010-02-28;null;
2010-03-31;225.6;
2010-04-30;217.4;
2010-05-31;25;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;168.6;
2010-11-30;226.6;
2010-12-31;315;
2011-01-31;120;
2011-02-28;159;
2011-03-31;231.2;
2011-04-30;59.8;
2011-05-31;12.2;
2011-06-30;3.8;
2011-07-31;0;
2011-08-31;0;
2011-09-30;6.4;
2011-10-31;251.6;
2011-11-30;320.8;
2011-12-31;293.8;
2012-01-31;248.8;
2012-02-29;104.8;
2012-03-31;182.6;
2012-04-30;110;
2012-05-31;40.2;
2012-06-30;2.4;
2012-07-31;.2;
2012-08-31;0;
2012-09-30;30.8;
2012-10-31;98.8;
2012-11-30;356.2;
2012-12-31;132.8;
2013-01-31;440.4;
2013-02-28;168.6;
2013-03-31;169;
2013-04-30;89.2;
2013-05-31;20.8;
2013-06-30;6;
2013-07-31;0;
2013-08-31;0;
2013-09-30;58.6;
2013-10-31;84.4;
2013-11-30;236.6;
2013-12-31;321.4;
2014-01-31;135.8;
2014-02-28;124.6;
2014-03-31;303.6;
2014-04-30;218;
2014-05-31;2.4;
2014-06-30;7.6;
2014-07-31;7;
2014-08-31;0;
2014-09-30;14.4;
2014-10-31;160;
2014-11-30;172.8;
2014-12-31;328.6;
2015-01-31;81.2;
2015-02-28;115.4;
2015-03-31;280.6;
2015-04-30;192;
2015-05-31;43.8;
2015-06-30;0;
2015-07-31;.8;
2015-08-31;0;
2015-09-30;19;
2015-10-31;43;
2015-11-30;143.6;
2015-12-31;153.2;
2016-01-31;345;
2016-02-29;75.2;
2016-03-31;130.2;
2016-04-30;9.8;
2016-05-31;3.2;
2016-06-30;0;
2016-07-31;0;
2016-08-31;17.4;
2016-09-30;52.8;
2016-10-31;87.6;
2016-11-30;248.4;
2016-12-31;171.2;
2017-01-31;143.8;
2017-02-28;242.6;
2017-03-31;178;
2017-04-30;25.4;
2017-05-31;64.2;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;10;
2017-10-31;36;
2017-11-30;328.8;
2017-12-31;263;
2018-01-31;149.4;
2018-02-28;265;
2018-03-31;226.6;
2018-04-30;216.8;
2018-05-31;9.6;
2018-06-30;0;
2018-07-31;0;
2018-08-31;23;
2018-09-30;39.6;
2018-10-31;263.6;
2018-11-30;308.6;
2018-12-31;166.4;
2019-01-31;77.6;
2019-02-28;149;
2019-03-31;267.6;
2019-04-30;319.4;
2019-05-31;68.4;
2019-06-30;8;
2019-07-31;0;
2019-08-31;0;
2019-09-30;10.2;
2019-10-31;22.8;
2019-11-30;208;
2019-12-31;263;
2020-01-31;319.4;
2020-02-29;189;
2020-03-31;288;
2020-04-30;179.8;
2020-05-31;29.2;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;29.8;
2020-10-31;165.6;
2020-11-30;229.6;
2020-12-31;154.6;
2021-01-31;261.6;
2021-02-28;536.2;
2021-03-31;164;
2021-04-30;121.8;
2021-05-31;4;
2021-06-30;29.6;
2021-07-31;0;
2021-08-31;2.8;
2021-09-30;12.6;
2021-10-31;148.2;
2021-11-30;349.8;
2021-12-31;387.4;
2022-01-31;null;

