Nome: PALMAS
Codigo Estacao: A009
Latitude: -10.19083333
Longitude: -48.30194444
Altitude: 291.87
Situacao: Pane
Data Inicial: 2004-12-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2004-12-31;null;
2005-01-31;253.4;
2005-02-28;264.6;
2005-03-31;273.8;
2005-04-30;179;
2005-05-31;46.2;
2005-06-30;0;
2005-07-31;0;
2005-08-31;0;
2005-09-30;79.6;
2005-10-31;55.4;
2005-11-30;null;
2005-12-31;336.2;
2006-01-31;172.6;
2006-02-28;null;
2006-03-31;362.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;0;
2006-07-31;0;
2006-08-31;2;
2006-09-30;193.8;
2006-10-31;140.6;
2006-11-30;122.6;
2006-12-31;222.2;
2007-01-31;354.2;
2007-02-28;579;
2007-03-31;212.8;
2007-04-30;81.2;
2007-05-31;33.4;
2007-06-30;0;
2007-07-31;0;
2007-08-31;0;
2007-09-30;54.8;
2007-10-31;79;
2007-11-30;null;
2007-12-31;130;
2008-01-31;294.4;
2008-02-29;276.6;
2008-03-31;296.8;
2008-04-30;236.8;
2008-05-31;33;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;13.4;
2008-10-31;99.6;
2008-11-30;294.8;
2008-12-31;172.4;
2009-01-31;164.8;
2009-02-28;347.4;
2009-03-31;167.4;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;0;
2009-08-31;.4;
2009-09-30;79.6;
2009-10-31;211.6;
2009-11-30;171.4;
2009-12-31;315.8;
2010-01-31;430.8;
2010-02-28;210.4;
2010-03-31;448;
2010-04-30;83.2;
2010-05-31;28.4;
2010-06-30;.2;
2010-07-31;0;
2010-08-31;0;
2010-09-30;17.6;
2010-10-31;210.4;
2010-11-30;183.4;
2010-12-31;150.4;
2011-01-31;338.8;
2011-02-28;306.4;
2011-03-31;313;
2011-04-30;201.6;
2011-05-31;8.8;
2011-06-30;0;
2011-07-31;2;
2011-08-31;0;
2011-09-30;0;
2011-10-31;null;
2011-11-30;null;
2011-12-31;289;
2012-01-31;null;
2012-02-29;223.4;
2012-03-31;118;
2012-04-30;86.4;
2012-05-31;61.4;
2012-06-30;8.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;0;
2013-08-31;0;
2013-09-30;10.8;
2013-10-31;109.2;
2013-11-30;250.8;
2013-12-31;499.8;
2014-01-31;279.8;
2014-02-28;274.2;
2014-03-31;null;
2014-04-30;173.6;
2014-05-31;48.8;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;73.2;
2014-10-31;145;
2014-11-30;178.6;
2014-12-31;232;
2015-01-31;145.4;
2015-02-28;193.4;
2015-03-31;142.4;
2015-04-30;296.2;
2015-05-31;71.8;
2015-06-30;0;
2015-07-31;0;
2015-08-31;.2;
2015-09-30;75.2;
2015-10-31;123;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;5.2;
2016-03-31;166.4;
2016-04-30;83.8;
2016-05-31;3.2;
2016-06-30;17.8;
2016-07-31;0;
2016-08-31;0;
2016-09-30;88.2;
2016-10-31;34.4;
2016-11-30;138.6;
2016-12-31;24.8;
2017-01-31;399.4;
2017-02-28;276.6;
2017-03-31;204.6;
2017-04-30;163.6;
2017-05-31;18.4;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;21.8;
2017-11-30;183.8;
2017-12-31;356.4;
2018-01-31;266;
2018-02-28;334.2;
2018-03-31;180.4;
2018-04-30;247.6;
2018-05-31;.4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;2.6;
2018-09-30;25.4;
2018-10-31;191.6;
2018-11-30;386.6;
2018-12-31;250.8;
2019-01-31;198.6;
2019-02-28;266.2;
2019-03-31;270.8;
2019-04-30;215.2;
2019-05-31;87.2;
2019-06-30;1.2;
2019-07-31;0;
2019-08-31;0;
2019-09-30;6.8;
2019-10-31;94.2;
2019-11-30;107.6;
2019-12-31;216;
2020-01-31;null;
2020-02-29;null;
2020-03-31;163.2;
2020-04-30;323;
2020-05-31;88.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;1;
2020-10-31;123.4;
2020-11-30;93;
2020-12-31;167.4;
2021-01-31;null;
2021-02-28;398.6;
2021-03-31;341;
2021-04-30;190;
2021-05-31;5.4;
2021-06-30;0;
2021-07-31;0;
2021-08-31;3.2;
2021-09-30;25.8;
2021-10-31;141;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

