Nome: GOIAS
Codigo Estacao: A014
Latitude: -15.93972221
Longitude: -50.14138888
Altitude: 512.86
Situacao: Operante
Data Inicial: 2007-07-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;0;
2007-09-30;0;
2007-10-31;75;
2007-11-30;null;
2007-12-31;218.6;
2008-01-31;347;
2008-02-29;319.2;
2008-03-31;230.2;
2008-04-30;167.8;
2008-05-31;12.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;.6;
2008-09-30;38.4;
2008-10-31;77;
2008-11-30;225.6;
2008-12-31;459.2;
2009-01-31;289;
2009-02-28;276.6;
2009-03-31;69.8;
2009-04-30;9.8;
2009-05-31;4.8;
2009-06-30;16.4;
2009-07-31;.6;
2009-08-31;27.8;
2009-09-30;103.2;
2009-10-31;258.4;
2009-11-30;249.4;
2009-12-31;557.4;
2010-01-31;73.2;
2010-02-28;158.6;
2010-03-31;167.8;
2010-04-30;85.2;
2010-05-31;0;
2010-06-30;3.8;
2010-07-31;2.8;
2010-08-31;0;
2010-09-30;1.4;
2010-10-31;154.6;
2010-11-30;112.4;
2010-12-31;null;
2011-01-31;null;
2011-02-28;89.4;
2011-03-31;406.4;
2011-04-30;71.4;
2011-05-31;0;
2011-06-30;36;
2011-07-31;0;
2011-08-31;0;
2011-09-30;7.4;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;670.4;
2012-02-29;null;
2012-03-31;151.6;
2012-04-30;70.2;
2012-05-31;11.6;
2012-06-30;44.4;
2012-07-31;0;
2012-08-31;0;
2012-09-30;13.8;
2012-10-31;23.6;
2012-11-30;289.8;
2012-12-31;149.2;
2013-01-31;393;
2013-02-28;123.2;
2013-03-31;135.6;
2013-04-30;98.4;
2013-05-31;31.4;
2013-06-30;9.4;
2013-07-31;0;
2013-08-31;0;
2013-09-30;27.8;
2013-10-31;143.4;
2013-11-30;238;
2013-12-31;308.8;
2014-01-31;228.2;
2014-02-28;174.4;
2014-03-31;289.8;
2014-04-30;76.8;
2014-05-31;.8;
2014-06-30;1.2;
2014-07-31;.6;
2014-08-31;0;
2014-09-30;39.2;
2014-10-31;73.6;
2014-11-30;254.4;
2014-12-31;244;
2015-01-31;156.8;
2015-02-28;459.8;
2015-03-31;208.8;
2015-04-30;80;
2015-05-31;74.8;
2015-06-30;0;
2015-07-31;2.6;
2015-08-31;4.6;
2015-09-30;26.4;
2015-10-31;66.6;
2015-11-30;82;
2015-12-31;127;
2016-01-31;430.4;
2016-02-29;127.2;
2016-03-31;161.2;
2016-04-30;null;
2016-05-31;1.4;
2016-06-30;0;
2016-07-31;0;
2016-08-31;43.4;
2016-09-30;65.6;
2016-10-31;115;
2016-11-30;203;
2016-12-31;12.4;
2017-01-31;196.6;
2017-02-28;254.8;
2017-03-31;288.8;
2017-04-30;96.4;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;0;
2017-09-30;8.6;
2017-10-31;55.4;
2017-11-30;229.6;
2017-12-31;309.8;
2018-01-31;244;
2018-02-28;175.6;
2018-03-31;139.6;
2018-04-30;64.6;
2018-05-31;11.4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;7.2;
2018-09-30;23.6;
2018-10-31;140.8;
2018-11-30;233.8;
2018-12-31;377.8;
2019-01-31;207.6;
2019-02-28;183.8;
2019-03-31;null;
2019-04-30;131;
2019-05-31;6.4;
2019-06-30;0;
2019-07-31;0;
2019-08-31;null;
2019-09-30;null;
2019-10-31;72;
2019-11-30;null;
2019-12-31;175.6;
2020-01-31;602.2;
2020-02-29;534.4;
2020-03-31;334.2;
2020-04-30;125;
2020-05-31;2;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;3.2;
2020-10-31;282.8;
2020-11-30;196;
2020-12-31;220;
2021-01-31;229.8;
2021-02-28;309;
2021-03-31;232;
2021-04-30;118.2;
2021-05-31;19;
2021-06-30;0;
2021-07-31;0;
2021-08-31;1;
2021-09-30;24.2;
2021-10-31;208.6;
2021-11-30;383;
2021-12-31;263.2;
2022-01-31;null;

