Nome: ITAPACI
Codigo Estacao: A015
Latitude: -14.97972221
Longitude: -49.53999999
Altitude: 551.16
Situacao: Operante
Data Inicial: 2007-02-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-02-28;null;
2007-03-31;58.4;
2007-04-30;48.8;
2007-05-31;12;
2007-06-30;0;
2007-07-31;null;
2007-08-31;0;
2007-09-30;10.8;
2007-10-31;159.2;
2007-11-30;null;
2007-12-31;273.4;
2008-01-31;310.4;
2008-02-29;218.4;
2008-03-31;225.2;
2008-04-30;95.8;
2008-05-31;18.8;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;60.2;
2008-11-30;202.6;
2008-12-31;94.8;
2009-01-31;317.4;
2009-02-28;165.8;
2009-03-31;76.4;
2009-04-30;116.8;
2009-05-31;8.8;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;85.2;
2009-10-31;226.8;
2009-11-30;88.6;
2009-12-31;64.4;
2010-01-31;96.2;
2010-02-28;97;
2010-03-31;126.6;
2010-04-30;58.4;
2010-05-31;null;
2010-06-30;null;
2010-07-31;8.8;
2010-08-31;null;
2010-09-30;null;
2010-10-31;141.6;
2010-11-30;242;
2010-12-31;299.2;
2011-01-31;236.2;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;149.8;
2011-06-30;81.4;
2011-07-31;0;
2011-08-31;.8;
2011-09-30;0;
2011-10-31;47.8;
2011-11-30;79;
2011-12-31;130.6;
2012-01-31;359.6;
2012-02-29;234.8;
2012-03-31;80;
2012-04-30;142.2;
2012-05-31;14;
2012-06-30;22;
2012-07-31;4.6;
2012-08-31;0;
2012-09-30;8;
2012-10-31;138;
2012-11-30;125.8;
2012-12-31;172.2;
2013-01-31;549.4;
2013-02-28;158.6;
2013-03-31;179.6;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;4;
2013-08-31;15.4;
2013-09-30;30.4;
2013-10-31;149.6;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;111.4;
2014-05-31;4.2;
2014-06-30;5.2;
2014-07-31;1.8;
2014-08-31;.6;
2014-09-30;.6;
2014-10-31;null;
2014-11-30;null;
2014-12-31;274.6;
2015-01-31;71.8;
2015-02-28;273.4;
2015-03-31;264.6;
2015-04-30;135.4;
2015-05-31;null;
2015-06-30;0;
2015-07-31;21.2;
2015-08-31;null;
2015-09-30;28.8;
2015-10-31;147.2;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;70.2;
2016-03-31;221.4;
2016-04-30;2.4;
2016-05-31;24.6;
2016-06-30;2.6;
2016-07-31;null;
2016-08-31;6.2;
2016-09-30;126.2;
2016-10-31;33.4;
2016-11-30;46.6;
2016-12-31;20.2;
2017-01-31;65.4;
2017-02-28;null;
2017-03-31;174.4;
2017-04-30;127.2;
2017-05-31;17;
2017-06-30;4.2;
2017-07-31;null;
2017-08-31;null;
2017-09-30;3.4;
2017-10-31;null;
2017-11-30;null;
2017-12-31;387.6;
2018-01-31;232.8;
2018-02-28;201;
2018-03-31;320.6;
2018-04-30;105.8;
2018-05-31;12.8;
2018-06-30;0;
2018-07-31;0;
2018-08-31;12.8;
2018-09-30;13.8;
2018-10-31;138.2;
2018-11-30;179.8;
2018-12-31;277.6;
2019-01-31;91.4;
2019-02-28;147.2;
2019-03-31;166.8;
2019-04-30;129;
2019-05-31;3.6;
2019-06-30;.2;
2019-07-31;1.8;
2019-08-31;4;
2019-09-30;16.8;
2019-10-31;71.8;
2019-11-30;null;
2019-12-31;87.6;
2020-01-31;461.2;
2020-02-29;336.4;
2020-03-31;301.6;
2020-04-30;199.8;
2020-05-31;65.6;
2020-06-30;.2;
2020-07-31;0;
2020-08-31;0;
2020-09-30;25.6;
2020-10-31;97.2;
2020-11-30;194.8;
2020-12-31;184.8;
2021-01-31;181.8;
2021-02-28;277.4;
2021-03-31;null;
2021-04-30;35.4;
2021-05-31;.2;
2021-06-30;4.6;
2021-07-31;0;
2021-08-31;0;
2021-09-30;3.6;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

