Nome: POSSE
Codigo Estacao: A017
Latitude: -14.08916666
Longitude: -46.36638888
Altitude: 830
Situacao: Operante
Data Inicial: 2007-04-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-04-30;null;
2007-05-31;18.2;
2007-06-30;0;
2007-07-31;0;
2007-08-31;.4;
2007-09-30;.2;
2007-10-31;43.8;
2007-11-30;null;
2007-12-31;197.8;
2008-01-31;177.4;
2008-02-29;175;
2008-03-31;199.8;
2008-04-30;143.6;
2008-05-31;5.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;.2;
2008-09-30;24.4;
2008-10-31;29.4;
2008-11-30;318.6;
2008-12-31;268.6;
2009-01-31;168.8;
2009-02-28;154.2;
2009-03-31;157.4;
2009-04-30;234.4;
2009-05-31;84.8;
2009-06-30;1.8;
2009-07-31;0;
2009-08-31;16.2;
2009-09-30;36;
2009-10-31;224;
2009-11-30;210.6;
2009-12-31;308.6;
2010-01-31;130.6;
2010-02-28;84.8;
2010-03-31;211.8;
2010-04-30;56.2;
2010-05-31;63.4;
2010-06-30;0;
2010-07-31;.2;
2010-08-31;0;
2010-09-30;25.6;
2010-10-31;148;
2010-11-30;219.4;
2010-12-31;55.6;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;13.2;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;181.2;
2011-11-30;181.8;
2011-12-31;290;
2012-01-31;381;
2012-02-29;19.2;
2012-03-31;21;
2012-04-30;24.4;
2012-05-31;null;
2012-06-30;0;
2012-07-31;0;
2012-08-31;.2;
2012-09-30;.2;
2012-10-31;0;
2012-11-30;267.2;
2012-12-31;143.8;
2013-01-31;310.2;
2013-02-28;73.2;
2013-03-31;288.8;
2013-04-30;198.6;
2013-05-31;11.4;
2013-06-30;8.6;
2013-07-31;0;
2013-08-31;0;
2013-09-30;11.2;
2013-10-31;null;
2013-11-30;null;
2013-12-31;317.6;
2014-01-31;146.6;
2014-02-28;117.8;
2014-03-31;291;
2014-04-30;123.8;
2014-05-31;68.4;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;1.2;
2014-10-31;128.6;
2014-11-30;198.2;
2014-12-31;202.6;
2015-01-31;56.8;
2015-02-28;64.8;
2015-03-31;148.8;
2015-04-30;243.4;
2015-05-31;60.8;
2015-06-30;0;
2015-07-31;null;
2015-08-31;null;
2015-09-30;.2;
2015-10-31;null;
2015-11-30;59.8;
2015-12-31;96.2;
2016-01-31;null;
2016-02-29;28.8;
2016-03-31;197.8;
2016-04-30;6;
2016-05-31;0;
2016-06-30;4.6;
2016-07-31;0;
2016-08-31;7.8;
2016-09-30;19.2;
2016-10-31;41.8;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;168.8;
2017-04-30;66.4;
2017-05-31;38.6;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;10.8;
2017-11-30;183.2;
2017-12-31;226.8;
2018-01-31;135.6;
2018-02-28;190.6;
2018-03-31;155.4;
2018-04-30;157.2;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;43.8;
2018-09-30;5.6;
2018-10-31;104.4;
2018-11-30;240.4;
2018-12-31;185.8;
2019-01-31;82;
2019-02-28;174.8;
2019-03-31;254.2;
2019-04-30;136.8;
2019-05-31;37.8;
2019-06-30;0;
2019-07-31;0;
2019-08-31;.2;
2019-09-30;15.8;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;215;
2020-05-31;29;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;1.6;
2020-10-31;114.6;
2020-11-30;217;
2020-12-31;281.4;
2021-01-31;297.6;
2021-02-28;368.2;
2021-03-31;85.4;
2021-04-30;151.8;
2021-05-31;0;
2021-06-30;2.6;
2021-07-31;0;
2021-08-31;0;
2021-09-30;37.2;
2021-10-31;180.4;
2021-11-30;283;
2021-12-31;null;
2022-01-31;null;

