Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.015377
Longitude: -48.544517
Altitude: 250.87
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;null;
2007-01-31;202.2;
2007-02-28;316.8;
2007-03-31;124;
2007-04-30;27.6;
2007-05-31;0;
2007-06-30;0;
2007-07-31;.2;
2007-08-31;0;
2007-09-30;4.4;
2007-10-31;99.6;
2007-11-30;209.8;
2007-12-31;119.6;
2008-01-31;162.8;
2008-02-29;252.4;
2008-03-31;190.8;
2008-04-30;null;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;.2;
2008-09-30;.4;
2008-10-31;39.6;
2008-11-30;50.8;
2008-12-31;329.4;
2009-01-31;243;
2009-02-28;145;
2009-03-31;100.8;
2009-04-30;208;
2009-05-31;76.8;
2009-06-30;5.8;
2009-07-31;0;
2009-08-31;0;
2009-09-30;82.8;
2009-10-31;107;
2009-11-30;72.4;
2009-12-31;211.2;
2010-01-31;317.8;
2010-02-28;146.4;
2010-03-31;143.6;
2010-04-30;58.6;
2010-05-31;2.8;
2010-06-30;0;
2010-07-31;null;
2010-08-31;0;
2010-09-30;18.8;
2010-10-31;119.4;
2010-11-30;295.2;
2010-12-31;162.6;
2011-01-31;309;
2011-02-28;187.4;
2011-03-31;196.4;
2011-04-30;42.4;
2011-05-31;4.8;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;5.2;
2011-10-31;167.4;
2011-11-30;177;
2011-12-31;203.8;
2012-01-31;231.2;
2012-02-29;153;
2012-03-31;105;
2012-04-30;13.6;
2012-05-31;54.2;
2012-06-30;0;
2012-07-31;0;
2012-08-31;.4;
2012-09-30;57;
2012-10-31;25.4;
2012-11-30;170.2;
2012-12-31;113.4;
2013-01-31;326.4;
2013-02-28;87.8;
2013-03-31;171.4;
2013-04-30;null;
2013-05-31;null;
2013-06-30;44.8;
2013-07-31;4.4;
2013-08-31;1;
2013-09-30;5.6;
2013-10-31;92.6;
2013-11-30;291.2;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;258.6;
2014-04-30;43;
2014-05-31;null;
2014-06-30;.6;
2014-07-31;0;
2014-08-31;.4;
2014-09-30;null;
2014-10-31;177.4;
2014-11-30;195;
2014-12-31;261.6;
2015-01-31;104.8;
2015-02-28;206.8;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;0;
2015-07-31;0;
2015-08-31;2.4;
2015-09-30;12.4;
2015-10-31;9.8;
2015-11-30;60.2;
2015-12-31;151.4;
2016-01-31;359.6;
2016-02-29;97;
2016-03-31;147.6;
2016-04-30;6.2;
2016-05-31;0;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;18.6;
2016-10-31;65.8;
2016-11-30;153.8;
2016-12-31;202.8;
2017-01-31;188.4;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;194.2;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;0;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;173.8;
2019-04-30;161.6;
2019-05-31;8.8;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;28.8;
2019-10-31;66.6;
2019-11-30;195;
2019-12-31;205.4;
2020-01-31;413.2;
2020-02-29;243.4;
2020-03-31;null;
2020-04-30;150.4;
2020-05-31;59.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;117.6;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;100.4;
2021-11-30;219.6;
2021-12-31;432.2;
2022-01-31;null;

