Nome: GURUPI
Codigo Estacao: A019
Latitude: -11.74583333
Longitude: -49.04972221
Altitude: 279.07
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-12-31;null;
2007-01-31;null;
2007-02-28;283.2;
2007-03-31;141.4;
2007-04-30;19;
2007-05-31;0;
2007-06-30;0;
2007-07-31;.2;
2007-08-31;0;
2007-09-30;16;
2007-10-31;148.2;
2007-11-30;null;
2007-12-31;237.8;
2008-01-31;193.8;
2008-02-29;303.2;
2008-03-31;245.8;
2008-04-30;164.4;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;17.4;
2008-09-30;200.6;
2008-10-31;26.4;
2008-11-30;257.2;
2008-12-31;213.4;
2009-01-31;174.8;
2009-02-28;316.4;
2009-03-31;201.6;
2009-04-30;189.2;
2009-05-31;84.2;
2009-06-30;1.4;
2009-07-31;0;
2009-08-31;.4;
2009-09-30;77;
2009-10-31;226.8;
2009-11-30;134.6;
2009-12-31;360.8;
2010-01-31;191;
2010-02-28;75.8;
2010-03-31;82.8;
2010-04-30;null;
2010-05-31;1.6;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;2.6;
2010-10-31;153.8;
2010-11-30;271.4;
2010-12-31;220.4;
2011-01-31;309.6;
2011-02-28;269;
2011-03-31;299.8;
2011-04-30;146.4;
2011-05-31;117;
2011-06-30;9.8;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;222.4;
2011-11-30;210.4;
2011-12-31;192.4;
2012-01-31;355.8;
2012-02-29;196.8;
2012-03-31;193;
2012-04-30;69.2;
2012-05-31;18.8;
2012-06-30;7.6;
2012-07-31;0;
2012-08-31;0;
2012-09-30;6.8;
2012-10-31;45.4;
2012-11-30;197.6;
2012-12-31;119.8;
2013-01-31;408.6;
2013-02-28;206.6;
2013-03-31;226.6;
2013-04-30;124.8;
2013-05-31;24;
2013-06-30;2;
2013-07-31;0;
2013-08-31;0;
2013-09-30;19.4;
2013-10-31;76;
2013-11-30;154.2;
2013-12-31;455.2;
2014-01-31;177.4;
2014-02-28;298.4;
2014-03-31;212.8;
2014-04-30;93.6;
2014-05-31;28.4;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;60.8;
2014-10-31;164.2;
2014-11-30;277;
2014-12-31;199;
2015-01-31;80.8;
2015-02-28;129.4;
2015-03-31;169.2;
2015-04-30;235.6;
2015-05-31;50.2;
2015-06-30;.4;
2015-07-31;0;
2015-08-31;0;
2015-09-30;6.8;
2015-10-31;1.8;
2015-11-30;200.2;
2015-12-31;59.2;
2016-01-31;null;
2016-02-29;29;
2016-03-31;213.8;
2016-04-30;28.6;
2016-05-31;0;
2016-06-30;.2;
2016-07-31;0;
2016-08-31;0;
2016-09-30;25.2;
2016-10-31;66;
2016-11-30;213.8;
2016-12-31;174;
2017-01-31;245.4;
2017-02-28;341.2;
2017-03-31;287.8;
2017-04-30;149.8;
2017-05-31;null;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;19.8;
2017-11-30;173.6;
2017-12-31;341.4;
2018-01-31;174.8;
2018-02-28;449.8;
2018-03-31;215.4;
2018-04-30;110.6;
2018-05-31;3.4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;11;
2018-09-30;2.2;
2018-10-31;null;
2018-11-30;386.8;
2018-12-31;238.4;
2019-01-31;247.4;
2019-02-28;102.2;
2019-03-31;229;
2019-04-30;80.4;
2019-05-31;20.6;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;31.4;
2019-10-31;93.2;
2019-11-30;135.6;
2019-12-31;199;
2020-01-31;321.2;
2020-02-29;267.4;
2020-03-31;250.6;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;183.4;
2021-11-30;239.4;
2021-12-31;351.2;
2022-01-31;null;

