Nome: PEDRO AFONSO
Codigo Estacao: A020
Latitude: -8.968677
Longitude: -48.177259
Altitude: 189.71
Situacao: Operante
Data Inicial: 2007-01-22
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-01-31;null;
2007-02-28;321.6;
2007-03-31;177.6;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;49;
2007-10-31;.8;
2007-11-30;null;
2007-12-31;203.6;
2008-01-31;383;
2008-02-29;234.6;
2008-03-31;326;
2008-04-30;284.8;
2008-05-31;112.8;
2008-06-30;.2;
2008-07-31;.6;
2008-08-31;0;
2008-09-30;18.4;
2008-10-31;128.6;
2008-11-30;299;
2008-12-31;252.6;
2009-01-31;185.6;
2009-02-28;283;
2009-03-31;253.8;
2009-04-30;296;
2009-05-31;227.8;
2009-06-30;26.6;
2009-07-31;0;
2009-08-31;.4;
2009-09-30;8;
2009-10-31;150.8;
2009-11-30;124.4;
2009-12-31;161.6;
2010-01-31;254.6;
2010-02-28;150.6;
2010-03-31;304;
2010-04-30;231.8;
2010-05-31;37.6;
2010-06-30;.8;
2010-07-31;14.4;
2010-08-31;1.6;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;160;
2011-01-31;277.2;
2011-02-28;465.4;
2011-03-31;216.8;
2011-04-30;221;
2011-05-31;126.6;
2011-06-30;1.2;
2011-07-31;0;
2011-08-31;2.6;
2011-09-30;0;
2011-10-31;188.4;
2011-11-30;335;
2011-12-31;284.2;
2012-01-31;423.4;
2012-02-29;270.8;
2012-03-31;253.6;
2012-04-30;174.8;
2012-05-31;63.8;
2012-06-30;11.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;1.4;
2012-10-31;124.6;
2012-11-30;null;
2012-12-31;136.4;
2013-01-31;407.4;
2013-02-28;187.6;
2013-03-31;358.8;
2013-04-30;130.8;
2013-05-31;67.6;
2013-06-30;11;
2013-07-31;.8;
2013-08-31;11.8;
2013-09-30;null;
2013-10-31;81.8;
2013-11-30;237;
2013-12-31;281.6;
2014-01-31;184.8;
2014-02-28;243.6;
2014-03-31;279;
2014-04-30;140.8;
2014-05-31;128.6;
2014-06-30;1;
2014-07-31;0;
2014-08-31;.4;
2014-09-30;125.2;
2014-10-31;129.2;
2014-11-30;283.8;
2014-12-31;280.6;
2015-01-31;245.2;
2015-02-28;null;
2015-03-31;null;
2015-04-30;218;
2015-05-31;76;
2015-06-30;.8;
2015-07-31;.2;
2015-08-31;0;
2015-09-30;28.6;
2015-10-31;69.8;
2015-11-30;219;
2015-12-31;106.6;
2016-01-31;588.2;
2016-02-29;34.2;
2016-03-31;228.6;
2016-04-30;143.6;
2016-05-31;18.2;
2016-06-30;null;
2016-07-31;null;
2016-08-31;0;
2016-09-30;null;
2016-10-31;null;
2016-11-30;223.4;
2016-12-31;217.4;
2017-01-31;285.2;
2017-02-28;414.6;
2017-03-31;255;
2017-04-30;197.8;
2017-05-31;11.4;
2017-06-30;31;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;32.2;
2017-11-30;201.4;
2017-12-31;390.8;
2018-01-31;253.2;
2018-02-28;451;
2018-03-31;310.8;
2018-04-30;291.4;
2018-05-31;1.8;
2018-06-30;0;
2018-07-31;0;
2018-08-31;8.4;
2018-09-30;48.8;
2018-10-31;141.8;
2018-11-30;139.8;
2018-12-31;197.6;
2019-01-31;null;
2019-02-28;null;
2019-03-31;247.4;
2019-04-30;257.2;
2019-05-31;102.2;
2019-06-30;.4;
2019-07-31;0;
2019-08-31;0;
2019-09-30;26.6;
2019-10-31;89.6;
2019-11-30;64.2;
2019-12-31;110.4;
2020-01-31;227.8;
2020-02-29;312.2;
2020-03-31;326.2;
2020-04-30;129.8;
2020-05-31;72.6;
2020-06-30;0;
2020-07-31;.2;
2020-08-31;0;
2020-09-30;0;
2020-10-31;107.8;
2020-11-30;138.4;
2020-12-31;150;
2021-01-31;146.6;
2021-02-28;280;
2021-03-31;199;
2021-04-30;51.8;
2021-05-31;21.6;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

