Nome: ARAGUAINA
Codigo Estacao: A021
Latitude: -7.10388888
Longitude: -48.20111111
Altitude: 230.76
Situacao: Pane
Data Inicial: 2007-01-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-01-31;null;
2007-02-28;485.4;
2007-03-31;145.6;
2007-04-30;176.2;
2007-05-31;53.6;
2007-06-30;57.4;
2007-07-31;.8;
2007-08-31;.4;
2007-09-30;.8;
2007-10-31;76.2;
2007-11-30;71.2;
2007-12-31;null;
2008-01-31;null;
2008-02-29;281.2;
2008-03-31;331;
2008-04-30;304.6;
2008-05-31;172.4;
2008-06-30;2;
2008-07-31;.6;
2008-08-31;0;
2008-09-30;40.4;
2008-10-31;132.2;
2008-11-30;null;
2008-12-31;null;
2009-01-31;152.8;
2009-02-28;230.2;
2009-03-31;381.4;
2009-04-30;340;
2009-05-31;159.6;
2009-06-30;5;
2009-07-31;4.8;
2009-08-31;26.2;
2009-09-30;117.4;
2009-10-31;124.4;
2009-11-30;187;
2009-12-31;446.2;
2010-01-31;186.8;
2010-02-28;223.2;
2010-03-31;155;
2010-04-30;270.4;
2010-05-31;17.4;
2010-06-30;62.6;
2010-07-31;.2;
2010-08-31;0;
2010-09-30;0;
2010-10-31;174.8;
2010-11-30;180.2;
2010-12-31;217.8;
2011-01-31;279.6;
2011-02-28;291.4;
2011-03-31;231.2;
2011-04-30;201.6;
2011-05-31;91.4;
2011-06-30;.4;
2011-07-31;6.8;
2011-08-31;3.6;
2011-09-30;26.2;
2011-10-31;154.2;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;45.8;
2012-05-31;76.6;
2012-06-30;29;
2012-07-31;20.2;
2012-08-31;.2;
2012-09-30;56.4;
2012-10-31;137;
2012-11-30;334.8;
2012-12-31;null;
2013-01-31;309.8;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;246.4;
2013-12-31;269.4;
2014-01-31;220.4;
2014-02-28;360.2;
2014-03-31;283.6;
2014-04-30;224.8;
2014-05-31;96.4;
2014-06-30;0;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;48.2;
2016-01-31;357;
2016-02-29;123.2;
2016-03-31;252.4;
2016-04-30;106;
2016-05-31;56.2;
2016-06-30;87;
2016-07-31;.4;
2016-08-31;3.8;
2016-09-30;99.8;
2016-10-31;82.2;
2016-11-30;273.4;
2016-12-31;99.4;
2017-01-31;284.4;
2017-02-28;333;
2017-03-31;254.8;
2017-04-30;204;
2017-05-31;14.4;
2017-06-30;64.8;
2017-07-31;0;
2017-08-31;6.4;
2017-09-30;0;
2017-10-31;188.2;
2017-11-30;null;
2017-12-31;232;
2018-01-31;256.2;
2018-02-28;341.8;
2018-03-31;308.6;
2018-04-30;123.8;
2018-05-31;30.8;
2018-06-30;0;
2018-07-31;0;
2018-08-31;12;
2018-09-30;54;
2018-10-31;79.2;
2018-11-30;212.8;
2018-12-31;164;
2019-01-31;180.6;
2019-02-28;338.2;
2019-03-31;291.4;
2019-04-30;215.8;
2019-05-31;60.2;
2019-06-30;0;
2019-07-31;35;
2019-08-31;2.8;
2019-09-30;19.2;
2019-10-31;120.6;
2019-11-30;178.2;
2019-12-31;113.2;
2020-01-31;183.6;
2020-02-29;254.4;
2020-03-31;582.2;
2020-04-30;241.6;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

