Nome: CAIAPONIA
Codigo Estacao: A023
Latitude: -16.96694443
Longitude: -51.81749999
Altitude: 740.1
Situacao: Operante
Data Inicial: 2007-05-20
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;0;
2007-07-31;7.2;
2007-08-31;.2;
2007-09-30;0;
2007-10-31;22;
2007-11-30;null;
2007-12-31;211.6;
2008-01-31;456;
2008-02-29;370.8;
2008-03-31;193;
2008-04-30;122.6;
2008-05-31;16;
2008-06-30;0;
2008-07-31;0;
2008-08-31;.2;
2008-09-30;25;
2008-10-31;149.8;
2008-11-30;134.2;
2008-12-31;313.6;
2009-01-31;307;
2009-02-28;237.4;
2009-03-31;220.8;
2009-04-30;84.4;
2009-05-31;23.8;
2009-06-30;14.6;
2009-07-31;.8;
2009-08-31;14;
2009-09-30;46.4;
2009-10-31;303.8;
2009-11-30;66.2;
2009-12-31;305.2;
2010-01-31;206;
2010-02-28;45.4;
2010-03-31;13.4;
2010-04-30;13;
2010-05-31;4;
2010-06-30;6.8;
2010-07-31;0;
2010-08-31;8.6;
2010-09-30;.2;
2010-10-31;202.8;
2010-11-30;123;
2010-12-31;184.8;
2011-01-31;166;
2011-02-28;183.4;
2011-03-31;371.2;
2011-04-30;38.4;
2011-05-31;.2;
2011-06-30;33.6;
2011-07-31;0;
2011-08-31;.2;
2011-09-30;32.8;
2011-10-31;245.6;
2011-11-30;68.2;
2011-12-31;358;
2012-01-31;273.6;
2012-02-29;269.8;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;37.6;
2012-07-31;0;
2012-08-31;0;
2012-09-30;69;
2012-10-31;41;
2012-11-30;285.4;
2012-12-31;108.2;
2013-01-31;154.8;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;52.6;
2013-06-30;12.4;
2013-07-31;1.2;
2013-08-31;0;
2013-09-30;34.6;
2013-10-31;78.8;
2013-11-30;256;
2013-12-31;202.4;
2014-01-31;173.2;
2014-02-28;137.6;
2014-03-31;128.4;
2014-04-30;101.4;
2014-05-31;2;
2014-06-30;1.8;
2014-07-31;60.8;
2014-08-31;0;
2014-09-30;25.6;
2014-10-31;185.6;
2014-11-30;153.8;
2014-12-31;374.4;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;29;
2015-07-31;18.6;
2015-08-31;0;
2015-09-30;84.4;
2015-10-31;132.2;
2015-11-30;273.2;
2015-12-31;125.4;
2016-01-31;445.4;
2016-02-29;110;
2016-03-31;206;
2016-04-30;24.8;
2016-05-31;8.4;
2016-06-30;.8;
2016-07-31;0;
2016-08-31;18.8;
2016-09-30;9.8;
2016-10-31;86.4;
2016-11-30;224.4;
2016-12-31;186.6;
2017-01-31;159;
2017-02-28;204;
2017-03-31;179;
2017-04-30;123.6;
2017-05-31;51.4;
2017-06-30;.2;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;337.6;
2018-01-31;294.8;
2018-02-28;290.6;
2018-03-31;218.6;
2018-04-30;47.2;
2018-05-31;27.2;
2018-06-30;.2;
2018-07-31;0;
2018-08-31;4;
2018-09-30;56;
2018-10-31;72.2;
2018-11-30;462.6;
2018-12-31;280;
2019-01-31;117;
2019-02-28;291.6;
2019-03-31;79;
2019-04-30;12;
2019-05-31;66.2;
2019-06-30;0;
2019-07-31;1.8;
2019-08-31;1;
2019-09-30;7;
2019-10-31;115.8;
2019-11-30;167.6;
2019-12-31;218.2;
2020-01-31;92;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;59.6;
2020-10-31;22.2;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;280.8;
2021-12-31;242;
2022-01-31;null;

