Nome: RIO VERDE
Codigo Estacao: A025
Latitude: -17.78527777
Longitude: -50.965
Altitude: 780.11
Situacao: Operante
Data Inicial: 2007-05-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;0;
2007-07-31;21;
2007-08-31;0;
2007-09-30;.4;
2007-10-31;109;
2007-11-30;null;
2007-12-31;228.8;
2008-01-31;300.4;
2008-02-29;286.4;
2008-03-31;402.6;
2008-04-30;219.2;
2008-05-31;27.2;
2008-06-30;.6;
2008-07-31;0;
2008-08-31;6.4;
2008-09-30;14.6;
2008-10-31;106;
2008-11-30;227.8;
2008-12-31;132;
2009-01-31;145.4;
2009-02-28;171;
2009-03-31;283.2;
2009-04-30;39;
2009-05-31;15.6;
2009-06-30;33;
2009-07-31;5.4;
2009-08-31;23.4;
2009-09-30;90.8;
2009-10-31;181.2;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;58.2;
2010-05-31;9.4;
2010-06-30;0;
2010-07-31;21;
2010-08-31;0;
2010-09-30;3.2;
2010-10-31;94.8;
2010-11-30;15.8;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;395.8;
2011-04-30;67.6;
2011-05-31;.6;
2011-06-30;57.4;
2011-07-31;0;
2011-08-31;4;
2011-09-30;10.4;
2011-10-31;249;
2011-11-30;130;
2011-12-31;161.4;
2012-01-31;204.4;
2012-02-29;324.8;
2012-03-31;195.8;
2012-04-30;70.8;
2012-05-31;null;
2012-06-30;17.4;
2012-07-31;1;
2012-08-31;0;
2012-09-30;84.4;
2012-10-31;42.6;
2012-11-30;234.6;
2012-12-31;171.6;
2013-01-31;523.6;
2013-02-28;167.8;
2013-03-31;445.8;
2013-04-30;97.6;
2013-05-31;1.4;
2013-06-30;1.2;
2013-07-31;.2;
2013-08-31;0;
2013-09-30;.4;
2013-10-31;66.4;
2013-11-30;306.4;
2013-12-31;115;
2014-01-31;84.2;
2014-02-28;160.4;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;7.8;
2014-07-31;56.4;
2014-08-31;0;
2014-09-30;60.8;
2014-10-31;65.8;
2014-11-30;383.2;
2014-12-31;320;
2015-01-31;115.6;
2015-02-28;235.6;
2015-03-31;269.2;
2015-04-30;190.8;
2015-05-31;131.8;
2015-06-30;7.6;
2015-07-31;9.2;
2015-08-31;0;
2015-09-30;57.6;
2015-10-31;31.8;
2015-11-30;234.6;
2015-12-31;null;
2016-01-31;314.2;
2016-02-29;189.6;
2016-03-31;292;
2016-04-30;9.2;
2016-05-31;13;
2016-06-30;25.4;
2016-07-31;0;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;167.4;
2016-12-31;199.2;
2017-01-31;335.8;
2017-02-28;240.2;
2017-03-31;300.4;
2017-04-30;128.2;
2017-05-31;53.8;
2017-06-30;.2;
2017-07-31;0;
2017-08-31;1.2;
2017-09-30;23;
2017-10-31;79.8;
2017-11-30;281.4;
2017-12-31;237.2;
2018-01-31;264.6;
2018-02-28;131.4;
2018-03-31;132.2;
2018-04-30;119.6;
2018-05-31;12.4;
2018-06-30;1.4;
2018-07-31;0;
2018-08-31;5.6;
2018-09-30;56;
2018-10-31;189.6;
2018-11-30;224.4;
2018-12-31;155;
2019-01-31;164.8;
2019-02-28;235.6;
2019-03-31;184;
2019-04-30;88;
2019-05-31;15.8;
2019-06-30;.2;
2019-07-31;0;
2019-08-31;0;
2019-09-30;29;
2019-10-31;124;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;259.2;
2021-12-31;203.2;
2022-01-31;null;

