Nome: MINEIROS
Codigo Estacao: A026
Latitude: -17.45472222
Longitude: -52.60111111
Altitude: 862
Situacao: Operante
Data Inicial: 2007-11-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-11-30;null;
2007-12-31;288.4;
2008-01-31;254.4;
2008-02-29;360.8;
2008-03-31;254.8;
2008-04-30;196.8;
2008-05-31;40.4;
2008-06-30;2.8;
2008-07-31;.2;
2008-08-31;4;
2008-09-30;47.8;
2008-10-31;154.6;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;12.2;
2009-07-31;2;
2009-08-31;31.4;
2009-09-30;57.8;
2009-10-31;115.8;
2009-11-30;241.4;
2009-12-31;330.2;
2010-01-31;36.6;
2010-02-28;null;
2010-03-31;630.8;
2010-04-30;45;
2010-05-31;25.6;
2010-06-30;4.8;
2010-07-31;.6;
2010-08-31;.2;
2010-09-30;9.8;
2010-10-31;159.6;
2010-11-30;230.6;
2010-12-31;285.8;
2011-01-31;159.6;
2011-02-28;221.4;
2011-03-31;395.2;
2011-04-30;107.2;
2011-05-31;7.6;
2011-06-30;19.2;
2011-07-31;.6;
2011-08-31;3.8;
2011-09-30;23.8;
2011-10-31;190.6;
2011-11-30;90.8;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;119.4;
2012-04-30;null;
2012-05-31;null;
2012-06-30;44.8;
2012-07-31;2;
2012-08-31;0;
2012-09-30;36.8;
2012-10-31;102.2;
2012-11-30;270.4;
2012-12-31;133;
2013-01-31;414;
2013-02-28;145.2;
2013-03-31;214.4;
2013-04-30;129;
2013-05-31;20.2;
2013-06-30;30.8;
2013-07-31;3.2;
2013-08-31;0;
2013-09-30;25;
2013-10-31;159;
2013-11-30;125.4;
2013-12-31;219.6;
2014-01-31;184.4;
2014-02-28;163.2;
2014-03-31;69;
2014-04-30;254.6;
2014-05-31;94.2;
2014-06-30;18.8;
2014-07-31;59;
2014-08-31;.2;
2014-09-30;105.6;
2014-10-31;33;
2014-11-30;259;
2014-12-31;196;
2015-01-31;149.8;
2015-02-28;207.4;
2015-03-31;226.2;
2015-04-30;204.6;
2015-05-31;120.2;
2015-06-30;19.2;
2015-07-31;22.4;
2015-08-31;8;
2015-09-30;27.4;
2015-10-31;75;
2015-11-30;217.2;
2015-12-31;167;
2016-01-31;386.4;
2016-02-29;86.6;
2016-03-31;61;
2016-04-30;35.4;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;15.2;
2016-10-31;28;
2016-11-30;120.2;
2016-12-31;187;
2017-01-31;186.2;
2017-02-28;354.2;
2017-03-31;353.2;
2017-04-30;50.4;
2017-05-31;83.2;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;7.4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;5.2;
2018-09-30;51.6;
2018-10-31;94.6;
2018-11-30;364.4;
2018-12-31;48.6;
2019-01-31;136;
2019-02-28;230.6;
2019-03-31;92.4;
2019-04-30;122.2;
2019-05-31;null;
2019-06-30;.2;
2019-07-31;7;
2019-08-31;3.6;
2019-09-30;20.2;
2019-10-31;138;
2019-11-30;131.8;
2019-12-31;197.8;
2020-01-31;260.2;
2020-02-29;390;
2020-03-31;127.2;
2020-04-30;43.6;
2020-05-31;64.4;
2020-06-30;2.2;
2020-07-31;0;
2020-08-31;0;
2020-09-30;28.2;
2020-10-31;115.2;
2020-11-30;68;
2020-12-31;268;
2021-01-31;null;
2021-02-28;154.4;
2021-03-31;25.4;
2021-04-30;45.4;
2021-05-31;85;
2021-06-30;22.2;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;320.2;
2021-12-31;257.6;
2022-01-31;null;

