Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Operante
Data Inicial: 2013-06-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2013-06-30;null;
2013-07-31;0;
2013-08-31;0;
2013-09-30;15;
2013-10-31;157;
2013-11-30;200;
2013-12-31;226.2;
2014-01-31;177.2;
2014-02-28;129.2;
2014-03-31;211;
2014-04-30;202.4;
2014-05-31;1.8;
2014-06-30;3.4;
2014-07-31;45.4;
2014-08-31;0;
2014-09-30;36;
2014-10-31;86.2;
2014-11-30;264.8;
2014-12-31;481;
2015-01-31;140.4;
2015-02-28;233.6;
2015-03-31;null;
2015-04-30;null;
2015-05-31;131.2;
2015-06-30;3.2;
2015-07-31;1;
2015-08-31;.2;
2015-09-30;10.6;
2015-10-31;59.2;
2015-11-30;161;
2015-12-31;151.8;
2016-01-31;495.2;
2016-02-29;103.6;
2016-03-31;119.4;
2016-04-30;8.2;
2016-05-31;.4;
2016-06-30;0;
2016-07-31;0;
2016-08-31;46.2;
2016-09-30;23.6;
2016-10-31;138.6;
2016-11-30;268;
2016-12-31;197;
2017-01-31;169.6;
2017-02-28;215.2;
2017-03-31;132.2;
2017-04-30;50.4;
2017-05-31;61.2;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;32;
2017-10-31;53.6;
2017-11-30;270.8;
2017-12-31;359.4;
2018-01-31;203.8;
2018-02-28;215;
2018-03-31;227;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;0;
2018-08-31;16;
2018-09-30;74.2;
2018-10-31;150.8;
2018-11-30;null;
2018-12-31;350;
2019-01-31;126.2;
2019-02-28;360.8;
2019-03-31;231.4;
2019-04-30;126.4;
2019-05-31;37.8;
2019-06-30;0;
2019-07-31;5;
2019-08-31;0;
2019-09-30;9.4;
2019-10-31;76.4;
2019-11-30;180.8;
2019-12-31;220.4;
2020-01-31;363.6;
2020-02-29;458.4;
2020-03-31;248.2;
2020-04-30;79.8;
2020-05-31;6.2;
2020-06-30;0;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;2.6;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;219.8;
2022-01-31;null;

