Nome: MONTE ALEGRE DE GOIAS
Codigo Estacao: A032
Latitude: -13.253521
Longitude: -46.890326
Altitude: 551.33
Situacao: Operante
Data Inicial: 2007-06-06
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-06-30;null;
2007-07-31;0;
2007-08-31;0;
2007-09-30;0;
2007-10-31;31.6;
2007-11-30;null;
2007-12-31;180.2;
2008-01-31;196.8;
2008-02-29;211.8;
2008-03-31;162.6;
2008-04-30;207;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;9.8;
2008-10-31;64.4;
2008-11-30;279.8;
2008-12-31;219.2;
2009-01-31;168.2;
2009-02-28;73;
2009-03-31;154.6;
2009-04-30;206.8;
2009-05-31;23.2;
2009-06-30;11.6;
2009-07-31;1;
2009-08-31;3.2;
2009-09-30;94;
2009-10-31;213.4;
2009-11-30;196.8;
2009-12-31;213.8;
2010-01-31;191.6;
2010-02-28;64.8;
2010-03-31;141.6;
2010-04-30;37.6;
2010-05-31;22.2;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;3;
2010-10-31;198.6;
2010-11-30;256.2;
2010-12-31;262.4;
2011-01-31;265.6;
2011-02-28;126.6;
2011-03-31;157.6;
2011-04-30;120;
2011-05-31;52.6;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;null;
2011-11-30;null;
2011-12-31;159.6;
2012-01-31;415.2;
2012-02-29;null;
2012-03-31;null;
2012-04-30;19.4;
2012-05-31;6;
2012-06-30;7.4;
2012-07-31;0;
2012-08-31;0;
2012-09-30;7.6;
2012-10-31;12.6;
2012-11-30;405.6;
2012-12-31;null;
2013-01-31;106.2;
2013-02-28;20.8;
2013-03-31;28.2;
2013-04-30;60.8;
2013-05-31;2;
2013-06-30;0;
2013-07-31;0;
2013-08-31;3;
2013-09-30;6.8;
2013-10-31;91.2;
2013-11-30;161.4;
2013-12-31;545.4;
2014-01-31;135.8;
2014-02-28;127.6;
2014-03-31;176.2;
2014-04-30;96.8;
2014-05-31;45;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;9.8;
2014-10-31;96.8;
2014-11-30;284;
2014-12-31;268.8;
2015-01-31;36.4;
2015-02-28;155.6;
2015-03-31;149.2;
2015-04-30;119.6;
2015-05-31;16.8;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;3;
2015-10-31;86;
2015-11-30;115.8;
2015-12-31;105.8;
2016-01-31;258.8;
2016-02-29;8.4;
2016-03-31;70.6;
2016-04-30;18.2;
2016-05-31;1.6;
2016-06-30;0;
2016-07-31;0;
2016-08-31;2;
2016-09-30;1.6;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;91.4;
2017-03-31;60.2;
2017-04-30;148.4;
2017-05-31;25.8;
2017-06-30;0;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;158;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;121.2;
2018-05-31;.6;
2018-06-30;0;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;161.4;
2018-11-30;175.6;
2018-12-31;191.4;
2019-01-31;115;
2019-02-28;192.6;
2019-03-31;297.4;
2019-04-30;101.8;
2019-05-31;56.6;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;48.8;
2019-10-31;62.6;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;362;
2020-04-30;253.2;
2020-05-31;41.8;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;24.6;
2020-10-31;91.8;
2020-11-30;112.2;
2020-12-31;138.2;
2021-01-31;null;
2021-02-28;310.2;
2021-03-31;98.4;
2021-04-30;115.8;
2021-05-31;0;
2021-06-30;2;
2021-07-31;0;
2021-08-31;0;
2021-09-30;null;
2021-10-31;185.2;
2021-11-30;null;
2021-12-31;430.8;
2022-01-31;null;

