Nome: PIRES DO RIO
Codigo Estacao: A033
Latitude: -17.30416666
Longitude: -48.28416666
Altitude: 757.27
Situacao: Operante
Data Inicial: 2007-10-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-10-31;null;
2007-11-30;null;
2007-12-31;198;
2008-01-31;297;
2008-02-29;261.2;
2008-03-31;360.4;
2008-04-30;211.6;
2008-05-31;5.6;
2008-06-30;.2;
2008-07-31;0;
2008-08-31;0;
2008-09-30;18;
2008-10-31;61.6;
2008-11-30;172.2;
2008-12-31;279.4;
2009-01-31;248.2;
2009-02-28;233;
2009-03-31;233;
2009-04-30;102.2;
2009-05-31;2;
2009-06-30;17.8;
2009-07-31;.2;
2009-08-31;22.4;
2009-09-30;118;
2009-10-31;167.4;
2009-11-30;216.8;
2009-12-31;239.6;
2010-01-31;187.4;
2010-02-28;82.2;
2010-03-31;126.2;
2010-04-30;76.6;
2010-05-31;2.2;
2010-06-30;2.8;
2010-07-31;0;
2010-08-31;0;
2010-09-30;28.2;
2010-10-31;174.6;
2010-11-30;229.2;
2010-12-31;305;
2011-01-31;201.8;
2011-02-28;135;
2011-03-31;461.8;
2011-04-30;169;
2011-05-31;.4;
2011-06-30;13.8;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;265.8;
2011-11-30;79.8;
2011-12-31;267.2;
2012-01-31;261;
2012-02-29;219.6;
2012-03-31;75;
2012-04-30;37.6;
2012-05-31;28;
2012-06-30;13.6;
2012-07-31;1;
2012-08-31;0;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;198.8;
2013-01-31;385;
2013-02-28;118.4;
2013-03-31;237;
2013-04-30;123.4;
2013-05-31;24.2;
2013-06-30;19.8;
2013-07-31;0;
2013-08-31;0;
2013-09-30;23.8;
2013-10-31;156;
2013-11-30;169.6;
2013-12-31;122.2;
2014-01-31;86.2;
2014-02-28;122;
2014-03-31;177;
2014-04-30;110;
2014-05-31;.2;
2014-06-30;.2;
2014-07-31;null;
2014-08-31;0;
2014-09-30;18;
2014-10-31;null;
2014-11-30;256.4;
2014-12-31;209.8;
2015-01-31;25.4;
2015-02-28;null;
2015-03-31;145.8;
2015-04-30;171;
2015-05-31;9.2;
2015-06-30;0;
2015-07-31;null;
2015-08-31;0;
2015-09-30;0;
2015-10-31;64.4;
2015-11-30;244.4;
2015-12-31;190;
2016-01-31;360.8;
2016-02-29;70.2;
2016-03-31;81.6;
2016-04-30;13.4;
2016-05-31;15.4;
2016-06-30;.2;
2016-07-31;0;
2016-08-31;9.2;
2016-09-30;7.2;
2016-10-31;88.6;
2016-11-30;209.4;
2016-12-31;49;
2017-01-31;241.8;
2017-02-28;235.6;
2017-03-31;178.6;
2017-04-30;41.4;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;231.2;
2018-01-31;244.2;
2018-02-28;175.4;
2018-03-31;131.8;
2018-04-30;69.6;
2018-05-31;1.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;1;
2018-09-30;36.4;
2018-10-31;119.2;
2018-11-30;380.2;
2018-12-31;143.4;
2019-01-31;107;
2019-02-28;232.2;
2019-03-31;null;
2019-04-30;null;
2019-05-31;35.6;
2019-06-30;0;
2019-07-31;8.6;
2019-08-31;0;
2019-09-30;11.6;
2019-10-31;57;
2019-11-30;171.2;
2019-12-31;269.2;
2020-01-31;316.4;
2020-02-29;211.2;
2020-03-31;50.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;1.2;
2020-10-31;226.6;
2020-11-30;100.6;
2020-12-31;270.6;
2021-01-31;121.6;
2021-02-28;396.4;
2021-03-31;179.8;
2021-04-30;56.8;
2021-05-31;.2;
2021-06-30;8.6;
2021-07-31;0;
2021-08-31;0;
2021-09-30;15.2;
2021-10-31;null;
2021-11-30;227.8;
2021-12-31;110.4;
2022-01-31;null;

