Nome: SILVANIA
Codigo Estacao: A037
Latitude: -16.67972221
Longitude: -48.61805554
Altitude: 952
Situacao: Operante
Data Inicial: 2010-10-07
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-10-31;null;
2010-11-30;236.8;
2010-12-31;204;
2011-01-31;265.2;
2011-02-28;153.2;
2011-03-31;411;
2011-04-30;29.2;
2011-05-31;.4;
2011-06-30;10.8;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;251.4;
2011-11-30;157.8;
2011-12-31;358;
2012-01-31;441.6;
2012-02-29;175.8;
2012-03-31;186.2;
2012-04-30;108;
2012-05-31;46.6;
2012-06-30;7.4;
2012-07-31;12.8;
2012-08-31;0;
2012-09-30;62.8;
2012-10-31;78;
2012-11-30;null;
2012-12-31;94.2;
2013-01-31;476;
2013-02-28;97.6;
2013-03-31;342.2;
2013-04-30;114.8;
2013-05-31;27.8;
2013-06-30;14.6;
2013-07-31;0;
2013-08-31;1.2;
2013-09-30;16;
2013-10-31;36.4;
2013-11-30;null;
2013-12-31;405.6;
2014-01-31;95.8;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;.6;
2014-06-30;.8;
2014-07-31;4.2;
2014-08-31;0;
2014-09-30;2;
2014-10-31;51.6;
2014-11-30;123.4;
2014-12-31;219;
2015-01-31;179.6;
2015-02-28;186;
2015-03-31;274.6;
2015-04-30;144.4;
2015-05-31;14.4;
2015-06-30;.6;
2015-07-31;2;
2015-08-31;0;
2015-09-30;25.2;
2015-10-31;108.6;
2015-11-30;190.4;
2015-12-31;210;
2016-01-31;320.6;
2016-02-29;119.8;
2016-03-31;143.2;
2016-04-30;13.6;
2016-05-31;28.8;
2016-06-30;0;
2016-07-31;0;
2016-08-31;12.2;
2016-09-30;32.6;
2016-10-31;112;
2016-11-30;null;
2016-12-31;211.8;
2017-01-31;166;
2017-02-28;159;
2017-03-31;166.6;
2017-04-30;70;
2017-05-31;58;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;7.2;
2017-10-31;50;
2017-11-30;48.4;
2017-12-31;367.6;
2018-01-31;186.2;
2018-02-28;348.8;
2018-03-31;180.6;
2018-04-30;171.2;
2018-05-31;11.6;
2018-06-30;.4;
2018-07-31;0;
2018-08-31;20.6;
2018-09-30;54.6;
2018-10-31;176.2;
2018-11-30;428.2;
2018-12-31;209.2;
2019-01-31;108.4;
2019-02-28;119.2;
2019-03-31;163.6;
2019-04-30;52.4;
2019-05-31;76.8;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;15.6;
2019-10-31;80;
2019-11-30;133.8;
2019-12-31;203.6;
2020-01-31;189.4;
2020-02-29;534.8;
2020-03-31;180.2;
2020-04-30;131.4;
2020-05-31;8.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;12.4;
2020-10-31;114.8;
2020-11-30;186.6;
2020-12-31;null;
2021-01-31;null;
2021-02-28;321.8;
2021-03-31;199.4;
2021-04-30;76.2;
2021-05-31;0;
2021-06-30;2.8;
2021-07-31;0;
2021-08-31;0;
2021-09-30;32.4;
2021-10-31;154.4;
2021-11-30;254.2;
2021-12-31;243.2;
2022-01-31;null;

