Nome: FORMOSO DO ARAGUAIA
Codigo Estacao: A039
Latitude: -11.88749999
Longitude: -49.60833333
Altitude: 215.2
Situacao: Operante
Data Inicial: 2008-04-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;3.6;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;2.6;
2008-10-31;71.4;
2008-11-30;null;
2008-12-31;171.2;
2009-01-31;122.8;
2009-02-28;null;
2009-03-31;180.2;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;1.8;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;22.4;
2010-10-31;94.2;
2010-11-30;65.4;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;2.4;
2011-06-30;1.2;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;17.4;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;109.2;
2012-04-30;96.4;
2012-05-31;10;
2012-06-30;0;
2012-07-31;0;
2012-08-31;0;
2012-09-30;0;
2012-10-31;54.8;
2012-11-30;182;
2012-12-31;123;
2013-01-31;317.4;
2013-02-28;128.2;
2013-03-31;175.6;
2013-04-30;108.2;
2013-05-31;22.2;
2013-06-30;14;
2013-07-31;0;
2013-08-31;0;
2013-09-30;null;
2013-10-31;68;
2013-11-30;232.2;
2013-12-31;336.8;
2014-01-31;null;
2014-02-28;147.6;
2014-03-31;null;
2014-04-30;163.8;
2014-05-31;15.6;
2014-06-30;0;
2014-07-31;0;
2014-08-31;.2;
2014-09-30;39.8;
2014-10-31;131.2;
2014-11-30;92;
2014-12-31;null;
2015-01-31;9.4;
2015-02-28;null;
2015-03-31;281.6;
2015-04-30;153.8;
2015-05-31;56.8;
2015-06-30;0;
2015-07-31;.2;
2015-08-31;0;
2015-09-30;38.6;
2015-10-31;44;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;106.6;
2016-03-31;162.2;
2016-04-30;44.4;
2016-05-31;0;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;15.6;
2016-10-31;171.2;
2016-11-30;207.6;
2016-12-31;208;
2017-01-31;170.8;
2017-02-28;482;
2017-03-31;109;
2017-04-30;151.4;
2017-05-31;null;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;2.4;
2017-10-31;133.6;
2017-11-30;319.4;
2017-12-31;264.6;
2018-01-31;179.6;
2018-02-28;495.6;
2018-03-31;null;
2018-04-30;null;
2018-05-31;5.8;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;358.8;
2019-04-30;39;
2019-05-31;105.4;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;0;
2019-10-31;4;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;72;
2021-11-30;200.6;
2021-12-31;311;
2022-01-31;null;

