Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Pane
Data Inicial: 2012-10-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2012-10-31;null;
2012-11-30;533;
2012-12-31;null;
2013-01-31;null;
2013-02-28;26.8;
2013-03-31;186.8;
2013-04-30;165;
2013-05-31;57;
2013-06-30;.4;
2013-07-31;0;
2013-08-31;.2;
2013-09-30;12;
2013-10-31;78.8;
2013-11-30;181.4;
2013-12-31;230.4;
2014-01-31;45.8;
2014-02-28;159.4;
2014-03-31;145.6;
2014-04-30;163;
2014-05-31;34.4;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;.2;
2014-10-31;21.8;
2014-11-30;142.6;
2014-12-31;276.4;
2015-01-31;108.8;
2015-02-28;181;
2015-03-31;148.6;
2015-04-30;175.6;
2015-05-31;null;
2015-06-30;0;
2015-07-31;0;
2015-08-31;0;
2015-09-30;null;
2015-10-31;null;
2015-11-30;26.2;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;0;
2016-06-30;20;
2016-07-31;0;
2016-08-31;0;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;145.2;
2017-03-31;122.4;
2017-04-30;124.4;
2017-05-31;8.4;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;0;
2017-11-30;203.2;
2017-12-31;229.2;
2018-01-31;218.8;
2018-02-28;241.8;
2018-03-31;228.6;
2018-04-30;68.8;
2018-05-31;0;
2018-06-30;0;
2018-07-31;0;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;230.4;
2018-12-31;257;
2019-01-31;75.8;
2019-02-28;174.6;
2019-03-31;315.8;
2019-04-30;201.2;
2019-05-31;21;
2019-06-30;0;
2019-07-31;null;
2019-08-31;0;
2019-09-30;2.6;
2019-10-31;71.2;
2019-11-30;80.6;
2019-12-31;52.6;
2020-01-31;303.8;
2020-02-29;244.2;
2020-03-31;329;
2020-04-30;173.6;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

