Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2017-02-06
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-02-28;null;
2017-03-31;136;
2017-04-30;9.8;
2017-05-31;17.4;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;9.2;
2017-10-31;35.2;
2017-11-30;304.2;
2017-12-31;306.8;
2018-01-31;109.6;
2018-02-28;274.6;
2018-03-31;98;
2018-04-30;102;
2018-05-31;6;
2018-06-30;0;
2018-07-31;0;
2018-08-31;10;
2018-09-30;78.8;
2018-10-31;141.6;
2018-11-30;null;
2018-12-31;208.8;
2019-01-31;71.6;
2019-02-28;170;
2019-03-31;256.4;
2019-04-30;128.8;
2019-05-31;15.2;
2019-06-30;.4;
2019-07-31;0;
2019-08-31;0;
2019-09-30;3.2;
2019-10-31;98.2;
2019-11-30;142.8;
2019-12-31;302.2;
2020-01-31;480.4;
2020-02-29;512.6;
2020-03-31;null;
2020-04-30;272.8;
2020-05-31;31.6;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;20;
2020-10-31;117.8;
2020-11-30;139;
2020-12-31;250;
2021-01-31;null;
2021-02-28;615.8;
2021-03-31;106.8;
2021-04-30;93.8;
2021-05-31;4.8;
2021-06-30;8.4;
2021-07-31;0;
2021-08-31;0;
2021-09-30;6.8;
2021-10-31;126;
2021-11-30;null;
2021-12-31;405.4;
2022-01-31;null;

