Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-07-31;null;
2016-08-31;11.2;
2016-09-30;144.2;
2016-10-31;95.8;
2016-11-30;147;
2016-12-31;101.4;
2017-01-31;179;
2017-02-28;328.8;
2017-03-31;355;
2017-04-30;188.2;
2017-05-31;57.6;
2017-06-30;23.6;
2017-07-31;0;
2017-08-31;49;
2017-09-30;1.2;
2017-10-31;29.8;
2017-11-30;null;
2017-12-31;227.2;
2018-01-31;211.4;
2018-02-28;234.8;
2018-03-31;410.2;
2018-04-30;148.6;
2018-05-31;58.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;48.4;
2018-09-30;74.4;
2018-10-31;179.8;
2018-11-30;278.2;
2018-12-31;185.8;
2019-01-31;333;
2019-02-28;222.8;
2019-03-31;443.4;
2019-04-30;263.6;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;170.2;
2019-12-31;114.8;
2020-01-31;252.6;
2020-02-29;321.4;
2020-03-31;531.4;
2020-04-30;428;
2020-05-31;50.2;
2020-06-30;15.6;
2020-07-31;0;
2020-08-31;7.6;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

