Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.092708
Longitude: -48.478605
Altitude: 200
Situacao: Operante
Data Inicial: 2016-11-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-11-30;null;
2016-12-31;143.8;
2017-01-31;249.2;
2017-02-28;null;
2017-03-31;266.8;
2017-04-30;103.8;
2017-05-31;22;
2017-06-30;9.8;
2017-07-31;0;
2017-08-31;6.8;
2017-09-30;null;
2017-10-31;52.8;
2017-11-30;291.2;
2017-12-31;337;
2018-01-31;355;
2018-02-28;385.4;
2018-03-31;321.2;
2018-04-30;129.6;
2018-05-31;17.2;
2018-06-30;1.2;
2018-07-31;.4;
2018-08-31;83.2;
2018-09-30;28.8;
2018-10-31;107.6;
2018-11-30;118.6;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;324.8;
2019-04-30;257.8;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;0;
2019-09-30;52.4;
2019-10-31;99.4;
2019-11-30;180.6;
2019-12-31;131.2;
2020-01-31;284.2;
2020-02-29;371.4;
2020-03-31;316.6;
2020-04-30;271;
2020-05-31;71;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;4.8;
2020-10-31;173.8;
2020-11-30;271;
2020-12-31;242.8;
2021-01-31;null;
2021-02-28;322.2;
2021-03-31;260.6;
2021-04-30;300;
2021-05-31;14.8;
2021-06-30;30.6;
2021-07-31;.4;
2021-08-31;0;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

