Nome: RIO SONO
Codigo Estacao: A050
Latitude: -9.793363
Longitude: -47.132732
Altitude: 291
Situacao: Operante
Data Inicial: 2016-08-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-08-31;null;
2016-09-30;24.2;
2016-10-31;18.8;
2016-11-30;71.8;
2016-12-31;142.6;
2017-01-31;259.2;
2017-02-28;null;
2017-03-31;134.8;
2017-04-30;156;
2017-05-31;2;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;10;
2017-11-30;140.4;
2017-12-31;358.8;
2018-01-31;210.4;
2018-02-28;364.2;
2018-03-31;259;
2018-04-30;112.2;
2018-05-31;6.8;
2018-06-30;.6;
2018-07-31;0;
2018-08-31;12.8;
2018-09-30;null;
2018-10-31;332.6;
2018-11-30;295;
2018-12-31;345.2;
2019-01-31;138.2;
2019-02-28;246;
2019-03-31;267.8;
2019-04-30;165.8;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;160.4;
2019-12-31;158.2;
2020-01-31;285.8;
2020-02-29;184.4;
2020-03-31;290.4;
2020-04-30;278.4;
2020-05-31;39.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;.4;
2020-10-31;79.4;
2020-11-30;266;
2020-12-31;182.2;
2021-01-31;null;
2021-02-28;416.2;
2021-03-31;272.2;
2021-04-30;200.2;
2021-05-31;.2;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

