Nome: PIUM
Codigo Estacao: A051
Latitude: -10.47694443
Longitude: -49.62944443
Altitude: 161
Situacao: Operante
Data Inicial: 2016-04-05
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-04-30;null;
2016-05-31;16.6;
2016-06-30;1.4;
2016-07-31;0;
2016-08-31;0;
2016-09-30;75.2;
2016-10-31;195.2;
2016-11-30;158.4;
2016-12-31;258.8;
2017-01-31;277.4;
2017-02-28;314.2;
2017-03-31;247.2;
2017-04-30;154.4;
2017-05-31;9.4;
2017-06-30;.6;
2017-07-31;0;
2017-08-31;0;
2017-09-30;1.2;
2017-10-31;75.4;
2017-11-30;null;
2017-12-31;473;
2018-01-31;294.4;
2018-02-28;595.2;
2018-03-31;182.2;
2018-04-30;82.4;
2018-05-31;69;
2018-06-30;0;
2018-07-31;0;
2018-08-31;.2;
2018-09-30;15.8;
2018-10-31;116.2;
2018-11-30;539.6;
2018-12-31;167;
2019-01-31;318.2;
2019-02-28;196.8;
2019-03-31;155;
2019-04-30;64.2;
2019-05-31;139.8;
2019-06-30;.8;
2019-07-31;0;
2019-08-31;0;
2019-09-30;2.4;
2019-10-31;187.4;
2019-11-30;192.8;
2019-12-31;243.2;
2020-01-31;332;
2020-02-29;219.8;
2020-03-31;301.6;
2020-04-30;273.6;
2020-05-31;27.4;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;164;
2021-11-30;333.8;
2021-12-31;379.4;
2022-01-31;null;

