Nome: SANTA ROSA DO TOCANTINS
Codigo Estacao: A052
Latitude: -11.42888888
Longitude: -48.18499999
Altitude: 306
Situacao: Operante
Data Inicial: 2015-08-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-08-31;null;
2015-09-30;.2;
2015-10-31;23.8;
2015-11-30;175.6;
2015-12-31;101.4;
2016-01-31;330;
2016-02-29;83.2;
2016-03-31;161.8;
2016-04-30;11.4;
2016-05-31;2.4;
2016-06-30;19.8;
2016-07-31;0;
2016-08-31;0;
2016-09-30;11;
2016-10-31;null;
2016-11-30;78.6;
2016-12-31;255;
2017-01-31;157.8;
2017-02-28;131.6;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;56.4;
2017-11-30;197.8;
2017-12-31;293.2;
2018-01-31;158.4;
2018-02-28;358.4;
2018-03-31;358;
2018-04-30;106.8;
2018-05-31;4.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;5.4;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;475.6;
2019-04-30;175.8;
2019-05-31;50.4;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;36.8;
2019-10-31;185.4;
2019-11-30;215.4;
2019-12-31;143.4;
2020-01-31;349.8;
2020-02-29;219.2;
2020-03-31;232.4;
2020-04-30;256;
2020-05-31;15.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;.6;
2020-10-31;64.2;
2020-11-30;102.6;
2020-12-31;294.8;
2021-01-31;null;
2021-02-28;326;
2021-03-31;28;
2021-04-30;null;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;0;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

