Nome: ALMAS
Codigo Estacao: A053
Latitude: -11.28416666
Longitude: -47.21222222
Altitude: 503
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-03-31;null;
2016-04-30;19.6;
2016-05-31;12.4;
2016-06-30;21.6;
2016-07-31;0;
2016-08-31;1;
2016-09-30;86.6;
2016-10-31;66.6;
2016-11-30;123;
2016-12-31;167.2;
2017-01-31;142.4;
2017-02-28;204.4;
2017-03-31;185.8;
2017-04-30;163;
2017-05-31;15.2;
2017-06-30;3.8;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;335.2;
2018-01-31;158;
2018-02-28;341.6;
2018-03-31;270;
2018-04-30;157.2;
2018-05-31;3.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;1.4;
2018-09-30;13;
2018-10-31;138.2;
2018-11-30;172.6;
2018-12-31;175;
2019-01-31;218.6;
2019-02-28;103;
2019-03-31;223.4;
2019-04-30;253.4;
2019-05-31;135.4;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;31.8;
2019-10-31;36.2;
2019-11-30;212;
2019-12-31;207.2;
2020-01-31;340.2;
2020-02-29;252.8;
2020-03-31;187.8;
2020-04-30;276.8;
2020-05-31;43.2;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;162.4;
2021-11-30;276.4;
2021-12-31;358.4;
2022-01-31;null;

