Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2015-08-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-08-31;null;
2015-09-30;28.6;
2015-10-31;21.4;
2015-11-30;124.2;
2015-12-31;134.6;
2016-01-31;610.4;
2016-02-29;37.4;
2016-03-31;279.2;
2016-04-30;28.8;
2016-05-31;.4;
2016-06-30;18.4;
2016-07-31;0;
2016-08-31;0;
2016-09-30;58.4;
2016-10-31;123.8;
2016-11-30;169.4;
2016-12-31;198.8;
2017-01-31;156.2;
2017-02-28;315.2;
2017-03-31;71.8;
2017-04-30;null;
2017-05-31;null;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;75;
2017-11-30;351;
2017-12-31;232.4;
2018-01-31;143.8;
2018-02-28;429.6;
2018-03-31;331;
2018-04-30;114;
2018-05-31;5.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;0;
2019-08-31;0;
2019-09-30;16.4;
2019-10-31;133.6;
2019-11-30;186.8;
2019-12-31;149.8;
2020-01-31;391.4;
2020-02-29;235;
2020-03-31;374.6;
2020-04-30;161.4;
2020-05-31;4.6;
2020-06-30;.8;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;185.8;
2020-11-30;197.6;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;24;
2021-10-31;110;
2021-11-30;null;
2021-12-31;507.8;
2022-01-31;null;

