Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-11-30;null;
2016-12-31;165.6;
2017-01-31;55.8;
2017-02-28;null;
2017-03-31;126.8;
2017-04-30;89.4;
2017-05-31;9.2;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;82.6;
2017-11-30;163.8;
2017-12-31;446.6;
2018-01-31;157.8;
2018-02-28;426;
2018-03-31;299.6;
2018-04-30;190;
2018-05-31;16;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;343.2;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;0;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;236.8;
2019-12-31;247.8;
2020-01-31;371;
2020-02-29;355.8;
2020-03-31;236;
2020-04-30;313.6;
2020-05-31;16.4;
2020-06-30;1;
2020-07-31;.8;
2020-08-31;0;
2020-09-30;25.4;
2020-10-31;45.6;
2020-11-30;116.4;
2020-12-31;292.4;
2021-01-31;null;
2021-02-28;347.8;
2021-03-31;159.6;
2021-04-30;180.8;
2021-05-31;15;
2021-06-30;.2;
2021-07-31;0;
2021-08-31;.2;
2021-09-30;12.2;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

