Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2000-05-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2000-05-31;null;
2000-06-30;48;
2000-07-31;40.2;
2000-08-31;125.8;
2000-09-30;191.8;
2000-10-31;null;
2000-11-30;171.6;
2000-12-31;null;
2001-01-31;null;
2001-02-28;null;
2001-03-31;212.2;
2001-04-30;191.2;
2001-05-31;200.4;
2001-06-30;147;
2001-07-31;null;
2001-08-31;15.4;
2001-09-30;79.8;
2001-10-31;30;
2001-11-30;null;
2001-12-31;null;
2002-01-31;null;
2002-02-28;null;
2002-03-31;null;
2002-04-30;315.8;
2002-05-31;252.2;
2002-06-30;131;
2002-07-31;null;
2002-08-31;null;
2002-09-30;62.4;
2002-10-31;null;
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;null;
2003-05-31;null;
2003-06-30;null;
2003-07-31;null;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;52.4;
2005-08-31;17.6;
2005-09-30;47.8;
2005-10-31;null;
2005-11-30;null;
2005-12-31;283.8;
2006-01-31;null;
2006-02-28;null;
2006-03-31;251.2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;83.4;
2006-07-31;68.2;
2006-08-31;17;
2006-09-30;33.2;
2006-10-31;62.4;
2006-11-30;276.6;
2006-12-31;262.2;
2007-01-31;377;
