Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Operante
Data Inicial: 2008-08-04
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-08-31;null;
2008-09-30;null;
2008-10-31;136.8;
2008-11-30;251.4;
2008-12-31;378.2;
2009-01-31;252.8;
2009-02-28;244.4;
2009-03-31;51.8;
2009-04-30;329.2;
2009-05-31;null;
2009-06-30;69.2;
2009-07-31;26.4;
2009-08-31;70.8;
2009-09-30;79.4;
2009-10-31;104.8;
2009-11-30;314.8;
2009-12-31;407;
2010-01-31;312.6;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;427.8;
2013-02-28;194.8;
2013-03-31;484.6;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;23.2;
2014-09-30;119.8;
2014-10-31;203.4;
2014-11-30;369.6;
2014-12-31;369;
2015-01-31;303.2;
2015-02-28;277.8;
2015-03-31;411.2;
2015-04-30;202.6;
2015-05-31;105;
2015-06-30;null;
2015-07-31;25;
2015-08-31;103.6;
2015-09-30;112;
2015-10-31;57.4;
2015-11-30;182.4;
2015-12-31;226.2;
2016-01-31;225.6;
2016-02-29;150.6;
2016-03-31;25.4;
2016-04-30;67.2;
2016-05-31;39.8;
2016-06-30;8.8;
2016-07-31;null;
2016-08-31;14.2;
2016-09-30;43.8;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;37.4;
2019-08-31;39;
2019-09-30;102.8;
2019-10-31;131.4;
2019-11-30;236.4;
2019-12-31;291.2;
2020-01-31;233.8;
2020-02-29;227;
2020-03-31;217.6;
2020-04-30;205.2;
2020-05-31;107.4;
2020-06-30;null;
2020-07-31;13;
2020-08-31;11.6;
2020-09-30;149.2;
2020-10-31;140.4;
2020-11-30;173.2;
2020-12-31;295.6;
2021-01-31;262.6;
2021-02-28;514.4;
2021-03-31;263;
2021-04-30;152.8;
2021-05-31;110.2;
2021-06-30;null;
2021-07-31;null;
2021-08-31;1.6;
2021-09-30;126.4;
2021-10-31;292.2;
2021-11-30;281;
2021-12-31;360.8;
2022-01-31;null;

