Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 220
Situacao: Pane
Data Inicial: 2015-05-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2015-05-31;null;
2015-06-30;82.4;
2015-07-31;80.8;
2015-08-31;71.4;
2015-09-30;90.6;
2015-10-31;130.6;
2015-11-30;193.6;
2015-12-31;348;
2016-01-31;286;
2016-02-29;246;
2016-03-31;286;
2016-04-30;176;
2016-05-31;126.8;
2016-06-30;60.8;
2016-07-31;32.4;
2016-08-31;129.8;
2016-09-30;86.4;
2016-10-31;199.2;
2016-11-30;170;
2016-12-31;245.4;
2017-01-31;414.8;
2017-02-28;161.6;
2017-03-31;307.6;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;122;
2017-10-31;212.4;
2017-11-30;116;
2017-12-31;208;
2018-01-31;267.4;
2018-02-28;null;
2018-03-31;235.4;
2018-04-30;247.2;
2018-05-31;168.4;
2018-06-30;null;
2018-07-31;null;
2018-08-31;87.8;
2018-09-30;35.2;
2018-10-31;228.8;
2018-11-30;403;
2018-12-31;191;
2019-01-31;358.6;
2019-02-28;386.8;
2019-03-31;415.6;
2019-04-30;228.4;
2019-05-31;94.6;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;216.4;
2019-10-31;193.8;
2019-11-30;317.4;
2019-12-31;325.6;
2020-01-31;207.8;
2020-02-29;87.8;
2020-03-31;336.2;
2020-04-30;116.8;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

