Nome: HUMAITA
Codigo Estacao: A112
Latitude: -7.5525
Longitude: -63.07138888
Altitude: 53.56
Situacao: Pane
Data Inicial: 2008-04-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;179;
2008-06-30;13.2;
2008-07-31;0;
2008-08-31;24;
2008-09-30;95.8;
2008-10-31;81.8;
2008-11-30;266.8;
2008-12-31;288;
2009-01-31;298.2;
2009-02-28;451;
2009-03-31;382.6;
2009-04-30;353;
2009-05-31;220.8;
2009-06-30;74.2;
2009-07-31;20.6;
2009-08-31;43;
2009-09-30;75.6;
2009-10-31;160.2;
2009-11-30;182.2;
2009-12-31;246.4;
2010-01-31;294;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;46.8;
2010-08-31;3;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;253;
2011-01-31;322;
2011-02-28;362.8;
2011-03-31;407.4;
2011-04-30;224.6;
2011-05-31;155.4;
2011-06-30;22.8;
2011-07-31;8.2;
2011-08-31;7.4;
2011-09-30;116.6;
2011-10-31;119.6;
2011-11-30;191;
2011-12-31;260.2;
2012-01-31;209;
2012-02-29;223.4;
2012-03-31;254.8;
2012-04-30;495.2;
2012-05-31;49.6;
2012-06-30;78.2;
2012-07-31;4;
2012-08-31;0;
2012-09-30;null;
2012-10-31;null;
2012-11-30;260.2;
2012-12-31;239.4;
2013-01-31;486.6;
2013-02-28;318.4;
2013-03-31;336.4;
2013-04-30;214.6;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;219.6;
2014-11-30;176.6;
2014-12-31;565.2;
2015-01-31;243.8;
2015-02-28;373.4;
2015-03-31;365;
2015-04-30;298.8;
2015-05-31;194.6;
2015-06-30;32.8;
2015-07-31;21.8;
2015-08-31;9.8;
2015-09-30;58.2;
2015-10-31;214.4;
2015-11-30;129;
2015-12-31;150.6;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;144;
2016-11-30;168.2;
2016-12-31;320.8;
2017-01-31;576.8;
2017-02-28;398.2;
2017-03-31;499.2;
2017-04-30;262.8;
2017-05-31;77.8;
2017-06-30;41.6;
2017-07-31;.2;
2017-08-31;69;
2017-09-30;91;
2017-10-31;148.8;
2017-11-30;213.2;
2017-12-31;341.6;
2018-01-31;253.6;
2018-02-28;448.4;
2018-03-31;130.2;
2018-04-30;275.8;
2018-05-31;134;
2018-06-30;3.6;
2018-07-31;6.4;
2018-08-31;39.8;
2018-09-30;62;
2018-10-31;161.8;
2018-11-30;234.8;
2018-12-31;392.4;
2019-01-31;388;
2019-02-28;314.8;
2019-03-31;253.8;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;247.2;
2019-12-31;332.4;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;6;
2020-08-31;17.4;
2020-09-30;null;
2020-10-31;67;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

