Nome: MANACAPURU
Codigo Estacao: A119
Latitude: -3.29472221
Longitude: -60.62833332
Altitude: 36.57
Situacao: Operante
Data Inicial: 2008-04-09
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;287.6;
2008-06-30;140.6;
2008-07-31;61.6;
2008-08-31;56.4;
2008-09-30;64.6;
2008-10-31;191.6;
2008-11-30;267;
2008-12-31;168.8;
2009-01-31;24.6;
2009-02-28;14.4;
2009-03-31;16.2;
2009-04-30;.8;
2009-05-31;.8;
2009-06-30;.2;
2009-07-31;0;
2009-08-31;.6;
2009-09-30;89;
2009-10-31;77.2;
2009-11-30;38;
2009-12-31;152.8;
2010-01-31;13.4;
2010-02-28;2.2;
2010-03-31;1.4;
2010-04-30;1.8;
2010-05-31;1;
2010-06-30;.2;
2010-07-31;0;
2010-08-31;3.8;
2010-09-30;92.2;
2010-10-31;84.8;
2010-11-30;212;
2010-12-31;224.4;
2011-01-31;200.8;
2011-02-28;310;
2011-03-31;258.2;
2011-04-30;412.4;
2011-05-31;186.2;
2011-06-30;129.8;
2011-07-31;47;
2011-08-31;48.2;
2011-09-30;35.4;
2011-10-31;null;
2011-11-30;130;
2011-12-31;303.6;
2012-01-31;551.8;
2012-02-29;207.6;
2012-03-31;277.4;
2012-04-30;364.8;
2012-05-31;126.6;
2012-06-30;47.8;
2012-07-31;94.6;
2012-08-31;18.4;
2012-09-30;68.2;
2012-10-31;37;
2012-11-30;180.6;
2012-12-31;236.6;
2013-01-31;299;
2013-02-28;264.6;
2013-03-31;299.4;
2013-04-30;209.2;
2013-05-31;195.4;
2013-06-30;42.8;
2013-07-31;194.4;
2013-08-31;82.6;
2013-09-30;39.2;
2013-10-31;231;
2013-11-30;429.6;
2013-12-31;190;
2014-01-31;320.8;
2014-02-28;null;
2014-03-31;519;
2014-04-30;328.8;
2014-05-31;314.2;
2014-06-30;133.6;
2014-07-31;45.8;
2014-08-31;71.8;
2014-09-30;52.4;
2014-10-31;242.2;
2014-11-30;169.4;
2014-12-31;null;
2015-01-31;null;
2015-02-28;153.4;
2015-03-31;464;
2015-04-30;228.2;
2015-05-31;232;
2015-06-30;115.8;
2015-07-31;124;
2015-08-31;33.8;
2015-09-30;46.6;
2015-10-31;37;
2015-11-30;146;
2015-12-31;178.8;
2016-01-31;158.8;
2016-02-29;227;
2016-03-31;272.8;
2016-04-30;261.6;
2016-05-31;197.2;
2016-06-30;84;
2016-07-31;52.6;
2016-08-31;80.6;
2016-09-30;99.2;
2016-10-31;131.6;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;302.6;
2017-04-30;225.6;
2017-05-31;null;
2017-06-30;null;
2017-07-31;22.6;
2017-08-31;68.4;
2017-09-30;141.8;
2017-10-31;145;
2017-11-30;200.8;
2017-12-31;337.4;
2018-01-31;126;
2018-02-28;264.8;
2018-03-31;327.8;
2018-04-30;274.8;
2018-05-31;172.6;
2018-06-30;121.4;
2018-07-31;48;
2018-08-31;99;
2018-09-30;82.2;
2018-10-31;89.4;
2018-11-30;132;
2018-12-31;381.2;
2019-01-31;376.6;
2019-02-28;null;
2019-03-31;null;
2019-04-30;296.4;
2019-05-31;323.6;
2019-06-30;208.4;
2019-07-31;166.8;
2019-08-31;51.8;
2019-09-30;93.2;
2019-10-31;127.4;
2019-11-30;169;
2019-12-31;97;
2020-01-31;0;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;277.4;
2021-03-31;310;
2021-04-30;363.2;
2021-05-31;166.8;
2021-06-30;139.8;
2021-07-31;212.4;
2021-08-31;183.4;
2021-09-30;129.8;
2021-10-31;119;
2021-11-30;200.4;
2021-12-31;513.2;
2022-01-31;null;

