Nome: AUTAZES
Codigo Estacao: A120
Latitude: -3.58333333
Longitude: -59.12944443
Altitude: 19.9
Situacao: Pane
Data Inicial: 2008-04-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;387.2;
2008-06-30;114.4;
2008-07-31;37.4;
2008-08-31;118.8;
2008-09-30;170.2;
2008-10-31;162.6;
2008-11-30;204.2;
2008-12-31;216.6;
2009-01-31;null;
2009-02-28;null;
2009-03-31;248.6;
2009-04-30;82;
2009-05-31;158.2;
2009-06-30;65.2;
2009-07-31;null;
2009-08-31;40.8;
2009-09-30;32.6;
2009-10-31;95;
2009-11-30;77.2;
2009-12-31;56.6;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;165;
2010-06-30;112.8;
2010-07-31;null;
2010-08-31;null;
2010-09-30;79.2;
2010-10-31;99.6;
2010-11-30;69.6;
2010-12-31;266;
2011-01-31;316.4;
2011-02-28;390.6;
2011-03-31;242.4;
2011-04-30;270.2;
2011-05-31;266.8;
2011-06-30;140;
2011-07-31;65.2;
2011-08-31;57.2;
2011-09-30;51.4;
2011-10-31;172.8;
2011-11-30;129.4;
2011-12-31;95.6;
2012-01-31;271.6;
2012-02-29;321.8;
2012-03-31;372.6;
2012-04-30;232.2;
2012-05-31;199.6;
2012-06-30;92.8;
2012-07-31;133.8;
2012-08-31;90.8;
2012-09-30;null;
2012-10-31;83.2;
2012-11-30;187;
2012-12-31;154.4;
2013-01-31;298;
2013-02-28;262.6;
2013-03-31;258.8;
2013-04-30;282.2;
2013-05-31;120.6;
2013-06-30;92.8;
2013-07-31;75.6;
2013-08-31;26;
2013-09-30;170.4;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;143.4;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;65.8;
2014-08-31;61.6;
2014-09-30;6.2;
2014-10-31;135.4;
2014-11-30;116.6;
2014-12-31;134.4;
2015-01-31;114.4;
2015-02-28;116.6;
2015-03-31;200.2;
2015-04-30;80.4;
2015-05-31;167.2;
2015-06-30;null;
2015-07-31;null;
2015-08-31;12.4;
2015-09-30;4.2;
2015-10-31;42.4;
2015-11-30;42.4;
2015-12-31;36.6;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;183.4;
2016-06-30;111.2;
2016-07-31;109;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;182;
2017-01-31;106;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;143.2;
2017-06-30;81.8;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;58.4;
2017-11-30;43.4;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;344.4;
2018-05-31;391.2;
2018-06-30;209.2;
2018-07-31;74.8;
2018-08-31;54.2;
2018-09-30;67.8;
2018-10-31;35.4;
2018-11-30;241;
2018-12-31;325.2;
2019-01-31;266.2;
2019-02-28;232.6;
2019-03-31;255.2;
2019-04-30;246.4;
2019-05-31;243.6;
2019-06-30;108.2;
2019-07-31;148;
2019-08-31;21.4;
2019-09-30;63;
2019-10-31;171.6;
2019-11-30;106.2;
2019-12-31;192.6;
2020-01-31;147.2;
2020-02-29;134.6;
2020-03-31;387.6;
2020-04-30;327.4;
2020-05-31;159;
2020-06-30;130.2;
2020-07-31;79.4;
2020-08-31;25;
2020-09-30;126;
2020-10-31;78;
2020-11-30;197.4;
2020-12-31;214;
2021-01-31;365.2;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

