Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Pane
Data Inicial: 2008-04-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;258.8;
2008-06-30;170.8;
2008-07-31;54;
2008-08-31;46;
2008-09-30;44;
2008-10-31;109;
2008-11-30;119.6;
2008-12-31;250;
2009-01-31;235.4;
2009-02-28;488.8;
2009-03-31;462;
2009-04-30;259;
2009-05-31;303.8;
2009-06-30;162.8;
2009-07-31;10;
2009-08-31;9.6;
2009-09-30;13;
2009-10-31;94.2;
2009-11-30;58;
2009-12-31;265.2;
2010-01-31;425.2;
2010-02-28;237;
2010-03-31;300.4;
2010-04-30;436.6;
2010-05-31;287;
2010-06-30;28;
2010-07-31;86.8;
2010-08-31;39.4;
2010-09-30;null;
2010-10-31;null;
2010-11-30;114.6;
2010-12-31;316.4;
2011-01-31;306.8;
2011-02-28;237.4;
2011-03-31;126;
2011-04-30;349.2;
2011-05-31;262.2;
2011-06-30;31.8;
2011-07-31;15.2;
2011-08-31;null;
2011-09-30;34.8;
2011-10-31;148;
2011-11-30;149.4;
2011-12-31;292.8;
2012-01-31;329.2;
2012-02-29;401.8;
2012-03-31;427.6;
2012-04-30;221.4;
2012-05-31;94.4;
2012-06-30;100.6;
2012-07-31;189.8;
2012-08-31;69.8;
2012-09-30;1.8;
2012-10-31;2.6;
2012-11-30;null;
2012-12-31;null;
2013-01-31;14.4;
2013-02-28;5.4;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;144.4;
2014-01-31;186;
2014-02-28;302.8;
2014-03-31;336.6;
2014-04-30;186.8;
2014-05-31;199.6;
2014-06-30;118.2;
2014-07-31;117.2;
2014-08-31;41.2;
2014-09-30;13;
2014-10-31;127.4;
2014-11-30;133.2;
2014-12-31;104.8;
2015-01-31;177.8;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;107.8;
2015-07-31;61;
2015-08-31;26;
2015-09-30;0;
2015-10-31;74.8;
2015-11-30;34.8;
2015-12-31;39.6;
2016-01-31;57.4;
2016-02-29;230.4;
2016-03-31;576.2;
2016-04-30;282.2;
2016-05-31;156.2;
2016-06-30;169.6;
2016-07-31;29.8;
2016-08-31;35.6;
2016-09-30;127.2;
2016-10-31;129;
2016-11-30;19.6;
2016-12-31;309.8;
2017-01-31;219;
2017-02-28;343.4;
2017-03-31;478.4;
2017-04-30;349.8;
2017-05-31;62;
2017-06-30;99.6;
2017-07-31;59.4;
2017-08-31;20.4;
2017-09-30;47.8;
2017-10-31;143.8;
2017-11-30;73.4;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;16.2;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;33.6;
2018-11-30;19.8;
2018-12-31;93.4;
2019-01-31;208.8;
2019-02-28;296.8;
2019-03-31;197;
2019-04-30;522;
2019-05-31;180.6;
2019-06-30;73.8;
2019-07-31;31;
2019-08-31;66.2;
2019-09-30;24.4;
2019-10-31;78.8;
2019-11-30;78.4;
2019-12-31;162.4;
2020-01-31;115.4;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

