Nome: RIO URUBU
Codigo Estacao: A125
Latitude: -2.6336111
Longitude: -59.60055555
Altitude: 112.84
Situacao: Operante
Data Inicial: 2008-06-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;78.8;
2008-08-31;144;
2008-09-30;122.6;
2008-10-31;128.2;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;74.2;
2009-08-31;36.4;
2009-09-30;93.2;
2009-10-31;42.2;
2009-11-30;79.4;
2009-12-31;240;
2010-01-31;264;
2010-02-28;231.6;
2010-03-31;152.4;
2010-04-30;486.2;
2010-05-31;232.8;
2010-06-30;188.4;
2010-07-31;98.4;
2010-08-31;54.2;
2010-09-30;97.2;
2010-10-31;124.2;
2010-11-30;133.4;
2010-12-31;243.6;
2011-01-31;297.8;
2011-02-28;452.8;
2011-03-31;502.4;
2011-04-30;460.2;
2011-05-31;244.4;
2011-06-30;117.6;
2011-07-31;79.2;
2011-08-31;57.6;
2011-09-30;37.4;
2011-10-31;30.4;
2011-11-30;20.2;
2011-12-31;121.8;
2012-01-31;273;
2012-02-29;183.2;
2012-03-31;306.4;
2012-04-30;220.8;
2012-05-31;146;
2012-06-30;120.8;
2012-07-31;196;
2012-08-31;60.6;
2012-09-30;143.2;
2012-10-31;110;
2012-11-30;52.2;
2012-12-31;164;
2013-01-31;266.8;
2013-02-28;396.4;
2013-03-31;237.6;
2013-04-30;184.8;
2013-05-31;321.4;
2013-06-30;116.4;
2013-07-31;181.6;
2013-08-31;326.4;
2013-09-30;162.6;
2013-10-31;67.8;
2013-11-30;260.8;
2013-12-31;140.2;
2014-01-31;226.8;
2014-02-28;326;
2014-03-31;504;
2014-04-30;330;
2014-05-31;344.4;
2014-06-30;169.8;
2014-07-31;140.6;
2014-08-31;64;
2014-09-30;76.4;
2014-10-31;168.4;
2014-11-30;162.6;
2014-12-31;182.4;
2015-01-31;266.4;
2015-02-28;250.8;
2015-03-31;333;
2015-04-30;179.6;
2015-05-31;296.6;
2015-06-30;200;
2015-07-31;115.8;
2015-08-31;10.4;
2015-09-30;17.4;
2015-10-31;54.6;
2015-11-30;187.6;
2015-12-31;62.4;
2016-01-31;82.2;
2016-02-29;265.2;
2016-03-31;351.2;
2016-04-30;321.4;
2016-05-31;153.6;
2016-06-30;147;
2016-07-31;123;
2016-08-31;99;
2016-09-30;142;
2016-10-31;null;
2016-11-30;null;
2016-12-31;381.4;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;103.6;
2017-09-30;122.4;
2017-10-31;122.8;
2017-11-30;155.8;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;245.2;
2018-05-31;284.8;
2018-06-30;248.2;
2018-07-31;155.6;
2018-08-31;87.8;
2018-09-30;139.6;
2018-10-31;45.2;
2018-11-30;356.8;
2018-12-31;352.4;
2019-01-31;328.8;
2019-02-28;307.4;
2019-03-31;251.4;
2019-04-30;311.8;
2019-05-31;361.6;
2019-06-30;176.4;
2019-07-31;123.4;
2019-08-31;94.6;
2019-09-30;162.2;
2019-10-31;154.4;
2019-11-30;176.8;
2019-12-31;350.6;
2020-01-31;185.2;
2020-02-29;157.4;
2020-03-31;291.2;
2020-04-30;413.4;
2020-05-31;407.4;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;430.4;
2021-11-30;177;
2021-12-31;423.4;
2022-01-31;null;

