Nome: BARCELOS
Codigo Estacao: A128
Latitude: -0.98722221
Longitude: -62.92416666
Altitude: 29.88
Situacao: Pane
Data Inicial: 2008-04-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;555.4;
2008-06-30;241.2;
2008-07-31;199.6;
2008-08-31;70.8;
2008-09-30;105.4;
2008-10-31;134;
2008-11-30;116.2;
2008-12-31;381.6;
2009-01-31;180.2;
2009-02-28;250.2;
2009-03-31;362.4;
2009-04-30;356;
2009-05-31;174.2;
2009-06-30;229.6;
2009-07-31;3.8;
2009-08-31;15.8;
2009-09-30;.8;
2009-10-31;0;
2009-11-30;.6;
2009-12-31;73.6;
2010-01-31;56.2;
2010-02-28;141.4;
2010-03-31;135.4;
2010-04-30;497.6;
2010-05-31;245.4;
2010-06-30;112;
2010-07-31;110.6;
2010-08-31;43.8;
2010-09-30;38.8;
2010-10-31;50.8;
2010-11-30;9;
2010-12-31;112.6;
2011-01-31;164.6;
2011-02-28;301.4;
2011-03-31;227.6;
2011-04-30;240.2;
2011-05-31;347.6;
2011-06-30;210;
2011-07-31;260.8;
2011-08-31;121.2;
2011-09-30;112;
2011-10-31;95;
2011-11-30;86.8;
2011-12-31;137.2;
2012-01-31;262.2;
2012-02-29;445.2;
2012-03-31;313;
2012-04-30;427.6;
2012-05-31;417.6;
2012-06-30;296.6;
2012-07-31;240.2;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;108.4;
2012-12-31;261.6;
2013-01-31;81.8;
2013-02-28;429.2;
2013-03-31;223.8;
2013-04-30;190.6;
2013-05-31;321;
2013-06-30;null;
2013-07-31;null;
2013-08-31;173.2;
2013-09-30;null;
2013-10-31;83.6;
2013-11-30;182;
2013-12-31;60.4;
2014-01-31;143;
2014-02-28;236.8;
2014-03-31;287.6;
2014-04-30;347;
2014-05-31;493.8;
2014-06-30;326;
2014-07-31;134.6;
2014-08-31;91.8;
2014-09-30;53.8;
2014-10-31;82.4;
2014-11-30;74.6;
2014-12-31;46.4;
2015-01-31;111.2;
2015-02-28;79.8;
2015-03-31;143.4;
2015-04-30;181.2;
2015-05-31;null;
2015-06-30;null;
2015-07-31;37.8;
2015-08-31;86.6;
2015-09-30;13.2;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;168.4;
2017-04-30;529.2;
2017-05-31;243.6;
2017-06-30;null;
2017-07-31;58.6;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;244.8;
2019-01-31;296.6;
2019-02-28;84.6;
2019-03-31;372.2;
2019-04-30;459.4;
2019-05-31;352.6;
2019-06-30;286.2;
2019-07-31;266.4;
2019-08-31;161.8;
2019-09-30;73.6;
2019-10-31;96.8;
2019-11-30;242.2;
2019-12-31;300.2;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

