Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2011-08-30
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2011-08-31;null;
2011-09-30;163.8;
2011-10-31;205.8;
2011-11-30;157.2;
2011-12-31;259.2;
2012-01-31;373.4;
2012-02-29;406.2;
2012-03-31;483.4;
2012-04-30;274.2;
2012-05-31;337.4;
2012-06-30;189.6;
2012-07-31;246.8;
2012-08-31;178.6;
2012-09-30;184.4;
2012-10-31;163.4;
2012-11-30;122.6;
2012-12-31;322.8;
2013-01-31;155.2;
2013-02-28;415.2;
2013-03-31;261;
2013-04-30;248;
2013-05-31;487;
2013-06-30;302.6;
2013-07-31;164.2;
2013-08-31;324;
2013-09-30;285.4;
2013-10-31;139;
2013-11-30;350;
2013-12-31;209.4;
2014-01-31;359.4;
2014-02-28;229;
2014-03-31;280.2;
2014-04-30;338.2;
2014-05-31;417.8;
2014-06-30;298.6;
2014-07-31;194;
2014-08-31;278.6;
2014-09-30;149;
2014-10-31;215.6;
2014-11-30;189;
2014-12-31;374.2;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;123;
2015-11-30;147.8;
2015-12-31;245;
2016-01-31;171;
2016-02-29;147.6;
2016-03-31;286.2;
2016-04-30;345;
2016-05-31;451.6;
2016-06-30;280.2;
2016-07-31;255.4;
2016-08-31;141.6;
2016-09-30;170.6;
2016-10-31;268.8;
2016-11-30;159.4;
2016-12-31;336.4;
2017-01-31;284.4;
2017-02-28;411.2;
2017-03-31;263.6;
2017-04-30;438.4;
2017-05-31;176.2;
2017-06-30;216;
2017-07-31;243.8;
2017-08-31;162.6;
2017-09-30;123;
2017-10-31;148.6;
2017-11-30;280;
2017-12-31;241;
2018-01-31;262.2;
2018-02-28;260.8;
2018-03-31;195.4;
2018-04-30;423.6;
2018-05-31;300.6;
2018-06-30;202.2;
2018-07-31;319.4;
2018-08-31;219.2;
2018-09-30;189.4;
2018-10-31;95.6;
2018-11-30;340.4;
2018-12-31;338.4;
2019-01-31;301.8;
2019-02-28;164.4;
2019-03-31;96.2;
2019-04-30;231;
2019-05-31;637.2;
2019-06-30;201;
2019-07-31;255.6;
2019-08-31;196.6;
2019-09-30;161.2;
2019-10-31;195.2;
2019-11-30;227;
2019-12-31;156.8;
2020-01-31;174.8;
2020-02-29;80;
2020-03-31;245.8;
2020-04-30;271.2;
2020-05-31;359;
2020-06-30;422;
2020-07-31;223.2;
2020-08-31;104.4;
2020-09-30;null;
2020-10-31;87;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

