Nome: BOA VISTA
Codigo Estacao: A135
Latitude: 2.81694443
Longitude: -60.69083333
Altitude: 82.35
Situacao: Pane
Data Inicial: 2010-08-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-08-31;null;
2010-09-30;124.8;
2010-10-31;45.6;
2010-11-30;154.4;
2010-12-31;99.6;
2011-01-31;31.4;
2011-02-28;64.8;
2011-03-31;167;
2011-04-30;22.6;
2011-05-31;622.4;
2011-06-30;404;
2011-07-31;351;
2011-08-31;123.6;
2011-09-30;73.4;
2011-10-31;105.6;
2011-11-30;109.6;
2011-12-31;35;
2012-01-31;17;
2012-02-29;16.2;
2012-03-31;57;
2012-04-30;216.8;
2012-05-31;220.8;
2012-06-30;35.8;
2012-07-31;77.2;
2012-08-31;68;
2012-09-30;31;
2012-10-31;26.8;
2012-11-30;17.8;
2012-12-31;25.2;
2013-01-31;.4;
2013-02-28;81.6;
2013-03-31;6.4;
2013-04-30;86.8;
2013-05-31;342.6;
2013-06-30;247.2;
2013-07-31;290.4;
2013-08-31;323.6;
2013-09-30;73.8;
2013-10-31;51.2;
2013-11-30;50;
2013-12-31;null;
2014-01-31;3.6;
2014-02-28;17;
2014-03-31;null;
2014-04-30;null;
2014-05-31;59;
2014-06-30;305.8;
2014-07-31;null;
2014-08-31;149;
2014-09-30;29.4;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;10.6;
2015-02-28;3.6;
2015-03-31;1.6;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;10.4;
2016-01-31;0;
2016-02-29;33.4;
2016-03-31;0;
2016-04-30;259;
2016-05-31;332.8;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;105.8;
2016-10-31;null;
2016-11-30;null;
2016-12-31;113;
2017-01-31;29.6;
2017-02-28;69;
2017-03-31;111.4;
2017-04-30;121;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;76;
2017-09-30;133.2;
2017-10-31;5.6;
2017-11-30;5.2;
2017-12-31;11.8;
2018-01-31;27.4;
2018-02-28;23.2;
2018-03-31;null;
2018-04-30;null;
2018-05-31;280.6;
2018-06-30;403;
2018-07-31;443.8;
2018-08-31;135.8;
2018-09-30;335;
2018-10-31;70;
2018-11-30;64;
2018-12-31;7.6;
2019-01-31;5;
2019-02-28;.2;
2019-03-31;7;
2019-04-30;13.2;
2019-05-31;440.2;
2019-06-30;520.4;
2019-07-31;386.8;
2019-08-31;346.2;
2019-09-30;127.8;
2019-10-31;47.4;
2019-11-30;221.4;
2019-12-31;63;
2020-01-31;7.2;
2020-02-29;1.8;
2020-03-31;5.6;
2020-04-30;104.8;
2020-05-31;288.8;
2020-06-30;378.2;
2020-07-31;null;
2020-08-31;192;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

