Nome: FEIJO
Codigo Estacao: A138
Latitude: -8.14277777
Longitude: -70.3436111
Altitude: 157.17
Situacao: Pane
Data Inicial: 2009-09-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-09-30;null;
2009-10-31;183.4;
2009-11-30;185.4;
2009-12-31;339.6;
2010-01-31;289.8;
2010-02-28;223.6;
2010-03-31;188.8;
2010-04-30;122.2;
2010-05-31;59.8;
2010-06-30;46;
2010-07-31;31.2;
2010-08-31;13.6;
2010-09-30;104.6;
2010-10-31;120.8;
2010-11-30;188.8;
2010-12-31;199.6;
2011-01-31;180.8;
2011-02-28;55.8;
2011-03-31;60;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;360.4;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;99.2;
2012-05-31;84.8;
2012-06-30;42;
2012-07-31;25.4;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;307.4;
2012-12-31;435.2;
2013-01-31;490;
2013-02-28;169.2;
2013-03-31;364;
2013-04-30;44.6;
2013-05-31;146.6;
2013-06-30;120;
2013-07-31;74;
2013-08-31;12.6;
2013-09-30;135;
2013-10-31;180.2;
2013-11-30;319.4;
2013-12-31;225.4;
2014-01-31;267.8;
2014-02-28;214.2;
2014-03-31;459.8;
2014-04-30;249.4;
2014-05-31;196.8;
2014-06-30;89.8;
2014-07-31;21.8;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;311.4;
2015-01-31;481.2;
2015-02-28;372;
2015-03-31;340.8;
2015-04-30;334.4;
2015-05-31;178.8;
2015-06-30;72;
2015-07-31;33.8;
2015-08-31;101.8;
2015-09-30;54.6;
2015-10-31;118.8;
2015-11-30;140.8;
2015-12-31;298.8;
2016-01-31;141.6;
2016-02-29;72;
2016-03-31;40.8;
2016-04-30;37;
2016-05-31;29;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;179.8;
2016-11-30;99.4;
2016-12-31;446.8;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;225.4;
2017-10-31;132.8;
2017-11-30;264;
2017-12-31;349.2;
2018-01-31;207;
2018-02-28;184.2;
2018-03-31;244.2;
2018-04-30;180.2;
2018-05-31;115.2;
2018-06-30;33;
2018-07-31;32;
2018-08-31;107.2;
2018-09-30;90.8;
2018-10-31;211.2;
2018-11-30;229.2;
2018-12-31;190.2;
2019-01-31;351.8;
2019-02-28;394.4;
2019-03-31;270.6;
2019-04-30;208.6;
2019-05-31;57.2;
2019-06-30;95.4;
2019-07-31;145.2;
2019-08-31;82.8;
2019-09-30;66.8;
2019-10-31;165.6;
2019-11-30;281.8;
2019-12-31;364.4;
2020-01-31;209.8;
2020-02-29;299.8;
2020-03-31;299.6;
2020-04-30;294;
2020-05-31;54.6;
2020-06-30;67.6;
2020-07-31;37;
2020-08-31;85.2;
2020-09-30;153.4;
2020-10-31;132.8;
2020-11-30;46.4;
2020-12-31;302.2;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

