Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2003-01-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-01-31;null;
2003-02-28;null;
2003-03-31;474;
2003-04-30;369.8;
2003-05-31;278.2;
2003-06-30;152.2;
2003-07-31;177.6;
2003-08-31;61.6;
2003-09-30;96;
2003-10-31;51.8;
2003-11-30;79.2;
2003-12-31;199.2;
2004-01-31;396.2;
2004-02-29;327;
2004-03-31;475;
2004-04-30;419.4;
2004-05-31;146.8;
2004-06-30;182.8;
2004-07-31;267.2;
2004-08-31;148.6;
2004-09-30;55.6;
2004-10-31;76;
2004-11-30;7.2;
2004-12-31;54.4;
2005-01-31;292.8;
2005-02-28;null;
2005-03-31;299.6;
2005-04-30;311.4;
2005-05-31;null;
2005-06-30;142.8;
2005-07-31;127;
2005-08-31;66.2;
2005-09-30;null;
2005-10-31;60;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;363.4;
2006-04-30;null;
2006-05-31;null;
2006-06-30;127.2;
2006-07-31;120.6;
2006-08-31;144;
2006-09-30;34.6;
2006-10-31;77.4;
2006-11-30;136.8;
2006-12-31;139.2;
2007-01-31;209.8;
2007-02-28;288.4;
2007-03-31;400.8;
2007-04-30;369;
2007-05-31;317.6;
2007-06-30;127.2;
2007-07-31;127.6;
2007-08-31;81;
2007-09-30;39;
2007-10-31;66.2;
2007-11-30;41.4;
2007-12-31;280.8;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;462.8;
2008-05-31;235;
2008-06-30;null;
2008-07-31;null;
2008-08-31;97.4;
2008-09-30;8.2;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;153.4;
2009-08-31;70.8;
2009-09-30;35;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;187.6;
2010-07-31;93.8;
2010-08-31;116;
2010-09-30;33.8;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;112.6;
2011-07-31;84.8;
2011-08-31;35;
2011-09-30;2.2;
2011-10-31;null;
2011-11-30;18.6;
2011-12-31;53.8;
2012-01-31;69.2;
2012-02-29;null;
2012-03-31;392.2;
2012-04-30;246.2;
2012-05-31;76.4;
2012-06-30;49;
2012-07-31;null;
2012-08-31;null;
2012-09-30;42.6;
2012-10-31;26.6;
2012-11-30;2.4;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;84.8;
2013-04-30;49.4;
2013-05-31;208.6;
2013-06-30;116.6;
2013-07-31;252.2;
2013-08-31;125.6;
2013-09-30;63.8;
2013-10-31;34;
2013-11-30;168.8;
2013-12-31;95.2;
2014-01-31;201.6;
2014-02-28;314.6;
2014-03-31;215.2;
2014-04-30;.8;
2014-05-31;null;
2014-06-30;173.4;
2014-07-31;140.8;
2014-08-31;96.2;
2014-09-30;55.4;
2014-10-31;45;
2014-11-30;1.6;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;95.2;
2015-07-31;null;
2015-08-31;null;
2015-09-30;21.8;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;129;
2016-02-29;302.8;
2016-03-31;null;
2016-04-30;179;
2016-05-31;156;
2016-06-30;152.8;
2016-07-31;143.4;
2016-08-31;98.8;
2016-09-30;42.6;
2016-10-31;0;
2016-11-30;1.2;
2016-12-31;225;
2017-01-31;135.4;
2017-02-28;205;
2017-03-31;254.2;
2017-04-30;415.8;
2017-05-31;173.2;
2017-06-30;129.4;
2017-07-31;73.2;
2017-08-31;29.8;
2017-09-30;27.8;
2017-10-31;25.4;
2017-11-30;8;
2017-12-31;74.2;
2018-01-31;192.8;
2018-02-28;192.6;
2018-03-31;331.8;
2018-04-30;166.2;
2018-05-31;256.6;
2018-06-30;108.8;
2018-07-31;187;
2018-08-31;null;
2018-09-30;122.8;
2018-10-31;83.2;
2018-11-30;205;
2018-12-31;419;
2019-01-31;219.6;
2019-02-28;121.2;
2019-03-31;552.6;
2019-04-30;337.6;
2019-05-31;283.4;
2019-06-30;167.2;
2019-07-31;null;
2019-08-31;124;
2019-09-30;null;
2019-10-31;71.8;
2019-11-30;98;
2019-12-31;298;
2020-01-31;203.4;
2020-02-29;441.6;
2020-03-31;607.6;
2020-04-30;593;
2020-05-31;311.8;
2020-06-30;191.2;
2020-07-31;143.6;
2020-08-31;48.4;
2020-09-30;null;
2020-10-31;128.8;
2020-11-30;261.6;
2020-12-31;141.4;
2021-01-31;null;
2021-02-28;265.6;
2021-03-31;220.4;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

