Nome: CAROLINA
Codigo Estacao: A205
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.88
Situacao: Pane
Data Inicial: 2007-12-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-12-31;null;
2008-01-31;228.2;
2008-02-29;171.6;
2008-03-31;346.8;
2008-04-30;339.8;
2008-05-31;73;
2008-06-30;0;
2008-07-31;.6;
2008-08-31;2;
2008-09-30;33.2;
2008-10-31;68;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;358.2;
2009-05-31;267;
2009-06-30;2.8;
2009-07-31;6.2;
2009-08-31;10.2;
2009-09-30;55.2;
2009-10-31;195.2;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;122.6;
2010-04-30;238.8;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;0;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;335.6;
2011-04-30;117.4;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;12.8;
2011-10-31;171.4;
2011-11-30;389;
2011-12-31;138.8;
2012-01-31;328;
2012-02-29;267.4;
2012-03-31;234.8;
2012-04-30;160.6;
2012-05-31;20.8;
2012-06-30;3.8;
2012-07-31;2.4;
2012-08-31;0;
2012-09-30;12;
2012-10-31;116.8;
2012-11-30;178.6;
2012-12-31;255.8;
2013-01-31;547;
2013-02-28;127.4;
2013-03-31;275.2;
2013-04-30;70.2;
2013-05-31;45.4;
2013-06-30;null;
2013-07-31;0;
2013-08-31;0;
2013-09-30;22.6;
2013-10-31;177.2;
2013-11-30;146;
2013-12-31;364.4;
2014-01-31;149;
2014-02-28;279;
2014-03-31;323;
2014-04-30;149.6;
2014-05-31;31.2;
2014-06-30;0;
2014-07-31;12.2;
2014-08-31;3;
2014-09-30;42.8;
2014-10-31;112.8;
2014-11-30;239.6;
2014-12-31;207;
2015-01-31;264.8;
2015-02-28;225.8;
2015-03-31;118.4;
2015-04-30;170.2;
2015-05-31;96.6;
2015-06-30;null;
2015-07-31;25;
2015-08-31;3.6;
2015-09-30;6.8;
2015-10-31;38.8;
2015-11-30;7.8;
2015-12-31;110.6;
2016-01-31;528;
2016-02-29;200;
2016-03-31;193.6;
2016-04-30;82;
2016-05-31;42;
2016-06-30;20.6;
2016-07-31;4;
2016-08-31;23.8;
2016-09-30;59;
2016-10-31;55.6;
2016-11-30;30.4;
2016-12-31;72.2;
2017-01-31;196.8;
2017-02-28;379.6;
2017-03-31;167.6;
2017-04-30;236.4;
2017-05-31;74.2;
2017-06-30;null;
2017-07-31;0;
2017-08-31;19;
2017-09-30;0;
2017-10-31;null;
2017-11-30;146;
2017-12-31;170.2;
2018-01-31;209.4;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;32;
2018-06-30;2;
2018-07-31;0;
2018-08-31;3.6;
2018-09-30;51.4;
2018-10-31;95.4;
2018-11-30;252.6;
2018-12-31;215.6;
2019-01-31;189;
2019-02-28;188.4;
2019-03-31;310.2;
2019-04-30;150;
2019-05-31;71.4;
2019-06-30;0;
2019-07-31;38.4;
2019-08-31;1;
2019-09-30;11.2;
2019-10-31;141.8;
2019-11-30;null;
2019-12-31;159.6;
2020-01-31;134.6;
2020-02-29;63;
2020-03-31;456.4;
2020-04-30;364.2;
2020-05-31;29.6;
2020-06-30;28.6;
2020-07-31;0;
2020-08-31;6;
2020-09-30;14.2;
2020-10-31;95.8;
2020-11-30;342.6;
2020-12-31;201.8;
2021-01-31;150.8;
2021-02-28;177.6;
2021-03-31;217;
2021-04-30;115.6;
2021-05-31;25.4;
2021-06-30;4;
2021-07-31;6.6;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

