Nome: CHAPADINHA
Codigo Estacao: A206
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Pane
Data Inicial: 2008-09-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;15.4;
2008-11-30;0;
2008-12-31;61.8;
2009-01-31;213.8;
2009-02-28;285.8;
2009-03-31;442.8;
2009-04-30;458.4;
2009-05-31;333.2;
2009-06-30;129.8;
2009-07-31;26.2;
2009-08-31;0;
2009-09-30;1.2;
2009-10-31;11.6;
2009-11-30;.8;
2009-12-31;42.4;
2010-01-31;229;
2010-02-28;103;
2010-03-31;132.4;
2010-04-30;216.8;
2010-05-31;141.8;
2010-06-30;86.8;
2010-07-31;46.6;
2010-08-31;.6;
2010-09-30;34.4;
2010-10-31;22.4;
2010-11-30;78.4;
2010-12-31;128.6;
2011-01-31;297;
2011-02-28;314.6;
2011-03-31;331;
2011-04-30;443;
2011-05-31;230.2;
2011-06-30;33.4;
2011-07-31;20.6;
2011-08-31;.6;
2011-09-30;0;
2011-10-31;118.8;
2011-11-30;79.8;
2011-12-31;null;
2012-01-31;378.4;
2012-02-29;null;
2012-03-31;230.4;
2012-04-30;33.8;
2012-05-31;23.6;
2012-06-30;32.4;
2012-07-31;2;
2012-08-31;0;
2012-09-30;.4;
2012-10-31;.2;
2012-11-30;71.6;
2012-12-31;123.8;
2013-01-31;80;
2013-02-28;189.4;
2013-03-31;145.2;
2013-04-30;null;
2013-05-31;null;
2013-06-30;61.8;
2013-07-31;105.6;
2013-08-31;1.8;
2013-09-30;5.6;
2013-10-31;0;
2013-11-30;38.4;
2013-12-31;54.2;
2014-01-31;284.8;
2014-02-28;193.6;
2014-03-31;171.2;
2014-04-30;293.8;
2014-05-31;405.4;
2014-06-30;57;
2014-07-31;null;
2014-08-31;null;
2014-09-30;1.4;
2014-10-31;2.8;
2014-11-30;null;
2014-12-31;null;
2015-01-31;63.6;
2015-02-28;233.6;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;0;
2015-10-31;1.8;
2015-11-30;0;
2015-12-31;19;
2016-01-31;114.8;
2016-02-29;84.8;
2016-03-31;281.8;
2016-04-30;225.6;
2016-05-31;90.2;
2016-06-30;11.4;
2016-07-31;12.2;
2016-08-31;0;
2016-09-30;1;
2016-10-31;17.8;
2016-11-30;16;
2016-12-31;70.4;
2017-01-31;null;
2017-02-28;null;
2017-03-31;392.6;
2017-04-30;311.8;
2017-05-31;89;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;34.6;
2017-12-31;39.6;
2018-01-31;176.8;
2018-02-28;345.6;
2018-03-31;null;
2018-04-30;null;
2018-05-31;121.4;
2018-06-30;69.4;
2018-07-31;19;
2018-08-31;.2;
2018-09-30;1.4;
2018-10-31;72.8;
2018-11-30;122.8;
2018-12-31;171.8;
2019-01-31;257.8;
2019-02-28;192;
2019-03-31;402.4;
2019-04-30;486.6;
2019-05-31;224;
2019-06-30;42.2;
2019-07-31;4.2;
2019-08-31;0;
2019-09-30;0;
2019-10-31;0;
2019-11-30;26;
2019-12-31;89.4;
2020-01-31;506.6;
2020-02-29;353.4;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

