Nome: MEDICILANDIA
Codigo Estacao: A209
Latitude: -3.51083333
Longitude: -52.96333333
Altitude: 251.68
Situacao: Pane
Data Inicial: 2008-02-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;478;
2008-04-30;391.2;
2008-05-31;297.8;
2008-06-30;null;
2008-07-31;null;
2008-08-31;31.6;
2008-09-30;97;
2008-10-31;50;
2008-11-30;74.2;
2008-12-31;319.4;
2009-01-31;354.2;
2009-02-28;430;
2009-03-31;396.6;
2009-04-30;341.6;
2009-05-31;483.4;
2009-06-30;124.2;
2009-07-31;64;
2009-08-31;5;
2009-09-30;38.2;
2009-10-31;67;
2009-11-30;49.4;
2009-12-31;220;
2010-01-31;351;
2010-02-28;262;
2010-03-31;211;
2010-04-30;448.4;
2010-05-31;139.4;
2010-06-30;89.4;
2010-07-31;40;
2010-08-31;13;
2010-09-30;112.4;
2010-10-31;114.8;
2010-11-30;192.8;
2010-12-31;207.2;
2011-01-31;310.2;
2011-02-28;222.4;
2011-03-31;254.2;
2011-04-30;470;
2011-05-31;306.8;
2011-06-30;35.8;
2011-07-31;41;
2011-08-31;51.4;
2011-09-30;41.4;
2011-10-31;196.2;
2011-11-30;90.4;
2011-12-31;74.6;
2012-01-31;255.6;
2012-02-29;208.8;
2012-03-31;427.2;
2012-04-30;145.4;
2012-05-31;118.2;
2012-06-30;74.6;
2012-07-31;45;
2012-08-31;5.6;
2012-09-30;28.8;
2012-10-31;105.4;
2012-11-30;21.4;
2012-12-31;267.4;
2013-01-31;343;
2013-02-28;282.2;
2013-03-31;555.8;
2013-04-30;336;
2013-05-31;151.8;
2013-06-30;100.4;
2013-07-31;150.6;
2013-08-31;61;
2013-09-30;126.4;
2013-10-31;136.2;
2013-11-30;304.8;
2013-12-31;157;
2014-01-31;148.2;
2014-02-28;335.8;
2014-03-31;385.4;
2014-04-30;234.4;
2014-05-31;207.4;
2014-06-30;94;
2014-07-31;13.6;
2014-08-31;35.8;
2014-09-30;54;
2014-10-31;68;
2014-11-30;149.8;
2014-12-31;82;
2015-01-31;202.8;
2015-02-28;329.2;
2015-03-31;378.2;
2015-04-30;218.8;
2015-05-31;156.2;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;51.8;
2015-10-31;128.8;
2015-11-30;15.2;
2015-12-31;7.6;
2016-01-31;172.4;
2016-02-29;245.6;
2016-03-31;128.6;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;22;
2016-10-31;83.6;
2016-11-30;42;
2016-12-31;234;
2017-01-31;505;
2017-02-28;472.6;
2017-03-31;423.4;
2017-04-30;392.4;
2017-05-31;116.8;
2017-06-30;null;
2017-07-31;null;
2017-08-31;46.6;
2017-09-30;26.2;
2017-10-31;12.2;
2017-11-30;11.6;
2017-12-31;252.4;
2018-01-31;128;
2018-02-28;302.8;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;48;
2018-10-31;91.6;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;60.6;
2019-09-30;47.6;
2019-10-31;140.6;
2019-11-30;154.8;
2019-12-31;166.4;
2020-01-31;393;
2020-02-29;315.6;
2020-03-31;278;
2020-04-30;304.8;
2020-05-31;264.2;
2020-06-30;60.6;
2020-07-31;31.4;
2020-08-31;41.8;
2020-09-30;33.8;
2020-10-31;47;
2020-11-30;159.8;
2020-12-31;207.4;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

