Nome: PACAJA
Codigo Estacao: A210
Latitude: -3.8436111
Longitude: -50.63805555
Altitude: 89.02
Situacao: Pane
Data Inicial: 2008-02-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;320.8;
2008-06-30;73.2;
2008-07-31;33.2;
2008-08-31;66.2;
2008-09-30;19.6;
2008-10-31;80.2;
2008-11-30;48;
2008-12-31;226.2;
2009-01-31;373;
2009-02-28;479;
2009-03-31;583.2;
2009-04-30;657;
2009-05-31;469.6;
2009-06-30;73.8;
2009-07-31;26.4;
2009-08-31;4.2;
2009-09-30;11.4;
2009-10-31;14.8;
2009-11-30;2.2;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;100;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;244;
2012-03-31;327.8;
2012-04-30;159;
2012-05-31;47.4;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;53.2;
2012-12-31;244.8;
2013-01-31;null;
2013-02-28;345.2;
2013-03-31;311.6;
2013-04-30;335.2;
2013-05-31;165;
2013-06-30;null;
2013-07-31;100;
2013-08-31;65.4;
2013-09-30;2;
2013-10-31;44.8;
2013-11-30;102.8;
2013-12-31;111.6;
2014-01-31;313;
2014-02-28;447.8;
2014-03-31;210.4;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;3.8;
2014-09-30;9.6;
2014-10-31;105.2;
2014-11-30;null;
2014-12-31;null;
2015-01-31;92.2;
2015-02-28;227;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;6;
2015-10-31;null;
2015-11-30;null;
2015-12-31;47;
2016-01-31;193.6;
2016-02-29;86;
2016-03-31;650.6;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;25.2;
2017-08-31;41.2;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;113.2;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;18.8;
2018-11-30;145.8;
2018-12-31;233.2;
2019-01-31;65.8;
2019-02-28;null;
2019-03-31;111.4;
2019-04-30;425;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

