Nome: PARAGOMINAS
Codigo Estacao: A212
Latitude: -2.99027777
Longitude: -47.40777777
Altitude: 113
Situacao: Pane
Data Inicial: 2007-10-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-10-31;null;
2007-11-30;0;
2007-12-31;0;
2008-01-31;220;
2008-02-29;299.2;
2008-03-31;508.6;
2008-04-30;292.4;
2008-05-31;158.8;
2008-06-30;42.6;
2008-07-31;7.2;
2008-08-31;9.4;
2008-09-30;17.4;
2008-10-31;8.2;
2008-11-30;57.8;
2008-12-31;177.8;
2009-01-31;104;
2009-02-28;445.8;
2009-03-31;312.8;
2009-04-30;271.2;
2009-05-31;158.2;
2009-06-30;67;
2009-07-31;56;
2009-08-31;15.6;
2009-09-30;3.4;
2009-10-31;12.4;
2009-11-30;30;
2009-12-31;127;
2010-01-31;164.2;
2010-02-28;194.4;
2010-03-31;174;
2010-04-30;354.8;
2010-05-31;177.2;
2010-06-30;78.8;
2010-07-31;31.2;
2010-08-31;18;
2010-09-30;3.6;
2010-10-31;31.8;
2010-11-30;43;
2010-12-31;211.2;
2011-01-31;295.4;
2011-02-28;112.4;
2011-03-31;176.8;
2011-04-30;446.6;
2011-05-31;169.2;
2011-06-30;45.6;
2011-07-31;61.4;
2011-08-31;47.4;
2011-09-30;14.2;
2011-10-31;39.8;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;277.8;
2012-04-30;135.8;
2012-05-31;96.8;
2012-06-30;103.2;
2012-07-31;16.4;
2012-08-31;4;
2012-09-30;24;
2012-10-31;2.4;
2012-11-30;107.4;
2012-12-31;89.6;
2013-01-31;232.4;
2013-02-28;278.8;
2013-03-31;316.2;
2013-04-30;139.8;
2013-05-31;null;
2013-06-30;44.8;
2013-07-31;76.8;
2013-08-31;30.4;
2013-09-30;2.4;
2013-10-31;65;
2013-11-30;149.2;
2013-12-31;38.8;
2014-01-31;22;
2014-02-28;266.2;
2014-03-31;275.8;
2014-04-30;266.4;
2014-05-31;null;
2014-06-30;58.4;
2014-07-31;17.8;
2014-08-31;27.4;
2014-09-30;17.8;
2014-10-31;5.6;
2014-11-30;.8;
2014-12-31;7.2;
2015-01-31;156.4;
2015-02-28;76.6;
2015-03-31;408.4;
2015-04-30;268.4;
2015-05-31;106.8;
2015-06-30;57.6;
2015-07-31;12.8;
2015-08-31;.2;
2015-09-30;2.2;
2015-10-31;.2;
2015-11-30;2.2;
2015-12-31;16.8;
2016-01-31;81.4;
2016-02-29;117;
2016-03-31;369.6;
2016-04-30;276.6;
2016-05-31;137.4;
2016-06-30;16.8;
2016-07-31;11;
2016-08-31;0;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;104.2;
2017-06-30;42.4;
2017-07-31;29.2;
2017-08-31;.2;
2017-09-30;2.8;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;485.2;
2018-03-31;255.8;
2018-04-30;545.2;
2018-05-31;205.6;
2018-06-30;30.8;
2018-07-31;28;
2018-08-31;21.8;
2018-09-30;2;
2018-10-31;32.8;
2018-11-30;null;
2018-12-31;null;
2019-01-31;424.4;
2019-02-28;345.8;
2019-03-31;779.2;
2019-04-30;445;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;570.4;
2020-05-31;214.8;
2020-06-30;50.6;
2020-07-31;21;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

