Nome: TOME ACU
Codigo Estacao: A213
Latitude: -2.59249999
Longitude: -48.36055555
Altitude: 42.95
Situacao: Operante
Data Inicial: 2007-10-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;488.2;
2008-02-29;422.6;
2008-03-31;null;
2008-04-30;596;
2008-05-31;294.2;
2008-06-30;103.4;
2008-07-31;40.6;
2008-08-31;16.4;
2008-09-30;29.2;
2008-10-31;30.4;
2008-11-30;112.4;
2008-12-31;null;
2009-01-31;253;
2009-02-28;375.2;
2009-03-31;638.6;
2009-04-30;null;
2009-05-31;457.2;
2009-06-30;208.4;
2009-07-31;null;
2009-08-31;8.8;
2009-09-30;33.4;
2009-10-31;32;
2009-11-30;107.2;
2009-12-31;243.2;
2010-01-31;333.8;
2010-02-28;381;
2010-03-31;183.2;
2010-04-30;489.2;
2010-05-31;207;
2010-06-30;61.8;
2010-07-31;53;
2010-08-31;55.2;
2010-09-30;28.8;
2010-10-31;95.8;
2010-11-30;112.6;
2010-12-31;220.2;
2011-01-31;420.4;
2011-02-28;514.4;
2011-03-31;619.4;
2011-04-30;557.2;
2011-05-31;399.8;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;64.6;
2011-11-30;167.2;
2011-12-31;134.6;
2012-01-31;330.2;
2012-02-29;408.6;
2012-03-31;450.2;
2012-04-30;371;
2012-05-31;140;
2012-06-30;138.8;
2012-07-31;58.8;
2012-08-31;46.4;
2012-09-30;6.8;
2012-10-31;30.8;
2012-11-30;132;
2012-12-31;221.2;
2013-01-31;192;
2013-02-28;270;
2013-03-31;372.4;
2013-04-30;362.8;
2013-05-31;334.2;
2013-06-30;139;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;71.2;
2013-11-30;275;
2013-12-31;121.4;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;198.6;
2014-07-31;78.6;
2014-08-31;39.6;
2014-09-30;67;
2014-10-31;null;
2014-11-30;3.2;
2014-12-31;105.2;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;31;
2016-07-31;8.2;
2016-08-31;7.4;
2016-09-30;17.4;
2016-10-31;42;
2016-11-30;29.4;
2016-12-31;267.2;
2017-01-31;232.4;
2017-02-28;59.4;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;9;
2017-09-30;7.4;
2017-10-31;21.2;
2017-11-30;1;
2017-12-31;94.8;
2018-01-31;64.6;
2018-02-28;null;
2018-03-31;67.6;
2018-04-30;null;
2018-05-31;203.6;
2018-06-30;94;
2018-07-31;109.8;
2018-08-31;115;
2018-09-30;78;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;534;
2019-02-28;33;
2019-03-31;14.2;
2019-04-30;73.2;
2019-05-31;829.4;
2019-06-30;80.8;
2019-07-31;53;
2019-08-31;28.2;
2019-09-30;59.6;
2019-10-31;41.6;
2019-11-30;107.4;
2019-12-31;null;
2020-01-31;343.6;
2020-02-29;297.8;
2020-03-31;335.8;
2020-04-30;429.8;
2020-05-31;198.6;
2020-06-30;54.8;
2020-07-31;21.6;
2020-08-31;18.2;
2020-09-30;38.2;
2020-10-31;75;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;396.6;
2021-03-31;390;
2021-04-30;297.2;
2021-05-31;212.8;
2021-06-30;72;
2021-07-31;129;
2021-08-31;27.2;
2021-09-30;115.6;
2021-10-31;95.2;
2021-11-30;144.6;
2021-12-31;null;
2022-01-31;null;

