Nome: RONDON DO PARA
Codigo Estacao: A214
Latitude: -4.82749999
Longitude: -48.1736111
Altitude: 203
Situacao: Operante
Data Inicial: 2008-04-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;210.2;
2008-06-30;5.6;
2008-07-31;2.2;
2008-08-31;8;
2008-09-30;5;
2008-10-31;30.4;
2008-11-30;206.4;
2008-12-31;338.2;
2009-01-31;237.6;
2009-02-28;254;
2009-03-31;335.4;
2009-04-30;571.8;
2009-05-31;272;
2009-06-30;56.8;
2009-07-31;5.4;
2009-08-31;16.2;
2009-09-30;22.4;
2009-10-31;14.2;
2009-11-30;30;
2009-12-31;108.2;
2010-01-31;320.8;
2010-02-28;152.6;
2010-03-31;137;
2010-04-30;317.2;
2010-05-31;86.8;
2010-06-30;40.6;
2010-07-31;21.2;
2010-08-31;0;
2010-09-30;.2;
2010-10-31;201.6;
2010-11-30;112.8;
2010-12-31;185.8;
2011-01-31;null;
2011-02-28;null;
2011-03-31;187.4;
2011-04-30;278.8;
2011-05-31;86.6;
2011-06-30;18.2;
2011-07-31;9.6;
2011-08-31;6.4;
2011-09-30;0;
2011-10-31;83;
2011-11-30;132.4;
2011-12-31;96;
2012-01-31;292;
2012-02-29;361.4;
2012-03-31;223.8;
2012-04-30;71;
2012-05-31;16.6;
2012-06-30;18.6;
2012-07-31;22.6;
2012-08-31;14.2;
2012-09-30;37.6;
2012-10-31;29.2;
2012-11-30;152.4;
2012-12-31;254.2;
2013-01-31;228;
2013-02-28;null;
2013-03-31;261.2;
2013-04-30;300.6;
2013-05-31;166;
2013-06-30;47.2;
2013-07-31;80.6;
2013-08-31;35.4;
2013-09-30;36.4;
2013-10-31;124.6;
2013-11-30;291;
2013-12-31;54.8;
2014-01-31;null;
2014-02-28;43;
2014-03-31;532.4;
2014-04-30;295.2;
2014-05-31;101.4;
2014-06-30;23;
2014-07-31;3.6;
2014-08-31;6;
2014-09-30;29.8;
2014-10-31;105.6;
2014-11-30;143.6;
2014-12-31;48.4;
2015-01-31;187.4;
2015-02-28;null;
2015-03-31;null;
2015-04-30;75.2;
2015-05-31;59.2;
2015-06-30;1.6;
2015-07-31;55.2;
2015-08-31;2.4;
2015-09-30;7.6;
2015-10-31;15.4;
2015-11-30;21;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;69.4;
2016-06-30;2;
2016-07-31;2.8;
2016-08-31;.6;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;437.2;
2017-04-30;250.6;
2017-05-31;82.4;
2017-06-30;15.6;
2017-07-31;39;
2017-08-31;44.4;
2017-09-30;2.4;
2017-10-31;11.6;
2017-11-30;125.2;
2017-12-31;327.2;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;343;
2018-05-31;81.4;
2018-06-30;null;
2018-07-31;null;
2018-08-31;22.6;
2018-09-30;141.2;
2018-10-31;47.8;
2018-11-30;269;
2018-12-31;297.2;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;277.6;
2019-05-31;87.8;
2019-06-30;6.6;
2019-07-31;28.2;
2019-08-31;0;
2019-09-30;24.6;
2019-10-31;149.2;
2019-11-30;48.4;
2019-12-31;199.4;
2020-01-31;362.4;
2020-02-29;346;
2020-03-31;127;
2020-04-30;48.4;
2020-05-31;82.2;
2020-06-30;29.8;
2020-07-31;9.6;
2020-08-31;20.8;
2020-09-30;0;
2020-10-31;91.6;
2020-11-30;322;
2020-12-31;64;
2021-01-31;149.6;
2021-02-28;345.4;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

