Nome: SALINOPOLIS
Codigo Estacao: A215
Latitude: -0.61888888
Longitude: -47.35666666
Altitude: 23.18
Situacao: Operante
Data Inicial: 2008-06-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;136.8;
2008-08-31;21.6;
2008-09-30;6.6;
2008-10-31;0;
2008-11-30;.2;
2008-12-31;13.8;
2009-01-31;258.6;
2009-02-28;263.6;
2009-03-31;422.4;
2009-04-30;28;
2009-05-31;331;
2009-06-30;315.6;
2009-07-31;113;
2009-08-31;31;
2009-09-30;.2;
2009-10-31;0;
2009-11-30;4.2;
2009-12-31;82;
2010-01-31;196.4;
2010-02-28;338.6;
2010-03-31;276.4;
2010-04-30;334.4;
2010-05-31;215.8;
2010-06-30;237.4;
2010-07-31;130;
2010-08-31;33.8;
2010-09-30;3.6;
2010-10-31;0;
2010-11-30;20;
2010-12-31;125.8;
2011-01-31;null;
2011-02-28;null;
2011-03-31;526.4;
2011-04-30;795;
2011-05-31;347.6;
2011-06-30;198.4;
2011-07-31;210.2;
2011-08-31;18.8;
2011-09-30;0;
2011-10-31;162;
2011-11-30;.2;
2011-12-31;4.8;
2012-01-31;101.8;
2012-02-29;326.8;
2012-03-31;515.4;
2012-04-30;349;
2012-05-31;71.6;
2012-06-30;105.8;
2012-07-31;84.6;
2012-08-31;33.6;
2012-09-30;.4;
2012-10-31;1.6;
2012-11-30;62.6;
2012-12-31;68.4;
2013-01-31;38.4;
2013-02-28;13.6;
2013-03-31;44.4;
2013-04-30;126.6;
2013-05-31;318.4;
2013-06-30;null;
2013-07-31;112.2;
2013-08-31;30.6;
2013-09-30;.8;
2013-10-31;.4;
2013-11-30;2.6;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;648.2;
2014-04-30;543.2;
2014-05-31;518;
2014-06-30;140.2;
2014-07-31;72.6;
2014-08-31;5.2;
2014-09-30;.2;
2014-10-31;6.2;
2014-11-30;.6;
2014-12-31;21;
2015-01-31;113.6;
2015-02-28;266.2;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;139;
2016-02-29;326.2;
2016-03-31;562;
2016-04-30;369.8;
2016-05-31;120;
2016-06-30;73.8;
2016-07-31;87.8;
2016-08-31;null;
2016-09-30;0;
2016-10-31;0;
2016-11-30;1.8;
2016-12-31;91.6;
2017-01-31;null;
2017-02-28;null;
2017-03-31;716;
2017-04-30;490;
2017-05-31;159.2;
2017-06-30;142;
2017-07-31;79.2;
2017-08-31;0;
2017-09-30;null;
2017-10-31;0;
2017-11-30;0;
2017-12-31;28.6;
2018-01-31;244.8;
2018-02-28;631;
2018-03-31;244;
2018-04-30;412.8;
2018-05-31;438.6;
2018-06-30;172.2;
2018-07-31;null;
2018-08-31;null;
2018-09-30;3.4;
2018-10-31;0;
2018-11-30;49.4;
2018-12-31;167;
2019-01-31;221;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;297.6;
2019-06-30;209.4;
2019-07-31;197.6;
2019-08-31;30.6;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;291;
2020-05-31;189;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;67.4;
2022-01-31;null;

