Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Pane
Data Inicial: 2008-11-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-11-30;null;
2008-12-31;22.8;
2009-01-31;247.8;
2009-02-28;531;
2009-03-31;499.8;
2009-04-30;595.8;
2009-05-31;527.2;
2009-06-30;233;
2009-07-31;34.2;
2009-08-31;4;
2009-09-30;1.2;
2009-10-31;2.4;
2009-11-30;13;
2009-12-31;5.4;
2010-01-31;120.6;
2010-02-28;57.6;
2010-03-31;335.2;
2010-04-30;305;
2010-05-31;90.4;
2010-06-30;103.6;
2010-07-31;86.2;
2010-08-31;.6;
2010-09-30;0;
2010-10-31;1.2;
2010-11-30;11.4;
2010-12-31;99.2;
2011-01-31;447.8;
2011-02-28;221.4;
2011-03-31;406.8;
2011-04-30;421.6;
2011-05-31;355.4;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;3.4;
2011-10-31;5;
2011-11-30;9.4;
2011-12-31;4.2;
2012-01-31;117.8;
2012-02-29;239.8;
2012-03-31;197.8;
2012-04-30;142.4;
2012-05-31;84.8;
2012-06-30;null;
2012-07-31;59.6;
2012-08-31;0;
2012-09-30;0;
2012-10-31;.8;
2012-11-30;0;
2012-12-31;9.2;
2013-01-31;104.2;
2013-02-28;178.6;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;42.2;
2013-07-31;96;
2013-08-31;7.2;
2013-09-30;1.6;
2013-10-31;.8;
2013-11-30;9.6;
2013-12-31;19.6;
2014-01-31;227;
2014-02-28;295.4;
2014-03-31;231.8;
2014-04-30;361.8;
2014-05-31;560.6;
2014-06-30;82;
2014-07-31;14.6;
2014-08-31;26;
2014-09-30;6.4;
2014-10-31;0;
2014-11-30;3.8;
2014-12-31;1;
2015-01-31;39.6;
2015-02-28;132.6;
2015-03-31;436.8;
2015-04-30;393.4;
2015-05-31;97.4;
2015-06-30;95.4;
2015-07-31;9.8;
2015-08-31;.2;
2015-09-30;1;
2015-10-31;0;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;70.2;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;22;
2017-01-31;103.6;
2017-02-28;310.6;
2017-03-31;477.4;
2017-04-30;206.6;
2017-05-31;183.8;
2017-06-30;51.2;
2017-07-31;73.4;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;3;
2017-12-31;59;
2018-01-31;203.2;
2018-02-28;327;
2018-03-31;null;
2018-04-30;null;
2018-05-31;308;
2018-06-30;40;
2018-07-31;146.4;
2018-08-31;12.4;
2018-09-30;0;
2018-10-31;.6;
2018-11-30;9;
2018-12-31;200.6;
2019-01-31;267.8;
2019-02-28;520.4;
2019-03-31;568.4;
2019-04-30;630.4;
2019-05-31;169.8;
2019-06-30;24.6;
2019-07-31;128.4;
2019-08-31;7;
2019-09-30;0;
2019-10-31;8;
2019-11-30;12.4;
2019-12-31;32.2;
2020-01-31;320.6;
2020-02-29;409.8;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

