Nome: TURIACU
Codigo Estacao: A219
Latitude: -1.66111111
Longitude: -45.37249999
Altitude: 35.86
Situacao: Pane
Data Inicial: 2008-06-09
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;142.8;
2008-08-31;48;
2008-09-30;4.2;
2008-10-31;1.2;
2008-11-30;.2;
2008-12-31;8.4;
2009-01-31;191.2;
2009-02-28;447.8;
2009-03-31;728.4;
2009-04-30;708.4;
2009-05-31;509.6;
2009-06-30;264.4;
2009-07-31;125.6;
2009-08-31;31.6;
2009-09-30;.8;
2009-10-31;.2;
2009-11-30;.2;
2009-12-31;8.4;
2010-01-31;171.4;
2010-02-28;139.8;
2010-03-31;152.2;
2010-04-30;388.4;
2010-05-31;205;
2010-06-30;308.8;
2010-07-31;268;
2010-08-31;52.8;
2010-09-30;18;
2010-10-31;0;
2010-11-30;25.6;
2010-12-31;113.6;
2011-01-31;500.2;
2011-02-28;383.2;
2011-03-31;318.8;
2011-04-30;391;
2011-05-31;369.8;
2011-06-30;155.4;
2011-07-31;207.2;
2011-08-31;112;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;1.4;
2012-01-31;127.2;
2012-02-29;201.6;
2012-03-31;269.4;
2012-04-30;219.6;
2012-05-31;133.4;
2012-06-30;206;
2012-07-31;77;
2012-08-31;33.8;
2012-09-30;1;
2012-10-31;15.2;
2012-11-30;7.8;
2012-12-31;30.4;
2013-01-31;75.8;
2013-02-28;114.4;
2013-03-31;321;
2013-04-30;264.2;
2013-05-31;428.2;
2013-06-30;94.8;
2013-07-31;183.4;
2013-08-31;32.6;
2013-09-30;15.8;
2013-10-31;9;
2013-11-30;4.6;
2013-12-31;.2;
2014-01-31;104.6;
2014-02-28;225.2;
2014-03-31;358.6;
2014-04-30;439.2;
2014-05-31;494;
2014-06-30;132.2;
2014-07-31;106.2;
2014-08-31;25.6;
2014-09-30;3;
2014-10-31;4.6;
2014-11-30;4.6;
2014-12-31;27.4;
2015-01-31;6.4;
2015-02-28;204.4;
2015-03-31;302.2;
2015-04-30;417;
2015-05-31;211.6;
2015-06-30;141.8;
2015-07-31;114.2;
2015-08-31;19;
2015-09-30;11.8;
2015-10-31;.6;
2015-11-30;9.6;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;469.8;
2016-04-30;291.2;
2016-05-31;105.8;
2016-06-30;82.6;
2016-07-31;61.8;
2016-08-31;18.8;
2016-09-30;0;
2016-10-31;21.8;
2016-11-30;0;
2016-12-31;49.4;
2017-01-31;320.8;
2017-02-28;204.2;
2017-03-31;497.8;
2017-04-30;316.4;
2017-05-31;212.4;
2017-06-30;180.6;
2017-07-31;52.6;
2017-08-31;30.6;
2017-09-30;7;
2017-10-31;10.2;
2017-11-30;0;
2017-12-31;17.4;
2018-01-31;269.4;
2018-02-28;330.2;
2018-03-31;259;
2018-04-30;445.8;
2018-05-31;378.6;
2018-06-30;null;
2018-07-31;254.6;
2018-08-31;22.8;
2018-09-30;2.2;
2018-10-31;5;
2018-11-30;86.2;
2018-12-31;132.8;
2019-01-31;207;
2019-02-28;561.8;
2019-03-31;671.4;
2019-04-30;603;
2019-05-31;269;
2019-06-30;220.6;
2019-07-31;203.2;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;73.2;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

