Nome: BACABAL
Codigo Estacao: A220
Latitude: -4.24305555
Longitude: -44.79499999
Altitude: 22.33
Situacao: Operante
Data Inicial: 2008-07-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-07-31;null;
2008-08-31;6.2;
2008-09-30;12.2;
2008-10-31;25.6;
2008-11-30;46.6;
2008-12-31;126.8;
2009-01-31;196.2;
2009-02-28;375.6;
2009-03-31;338.2;
2009-04-30;486.6;
2009-05-31;465.2;
2009-06-30;88.8;
2009-07-31;29;
2009-08-31;.6;
2009-09-30;9.6;
2009-10-31;33.6;
2009-11-30;5;
2009-12-31;102.6;
2010-01-31;313;
2010-02-28;298.6;
2010-03-31;167.8;
2010-04-30;257.6;
2010-05-31;102.8;
2010-06-30;26.4;
2010-07-31;14.2;
2010-08-31;0;
2010-09-30;1.6;
2010-10-31;42.2;
2010-11-30;74.2;
2010-12-31;100.4;
2011-01-31;null;
2011-02-28;null;
2011-03-31;330;
2011-04-30;361.2;
2011-05-31;302.6;
2011-06-30;15.8;
2011-07-31;104.2;
2011-08-31;10;
2011-09-30;.2;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;371.6;
2013-05-31;142.6;
2013-06-30;62.2;
2013-07-31;19.2;
2013-08-31;1.8;
2013-09-30;5.6;
2013-10-31;14.6;
2013-11-30;null;
2013-12-31;null;
2014-01-31;253.6;
2014-02-28;409;
2014-03-31;294.8;
2014-04-30;401.4;
2014-05-31;310.2;
2014-06-30;null;
2014-07-31;6.8;
2014-08-31;15.2;
2014-09-30;40;
2014-10-31;33.2;
2014-11-30;35.4;
2014-12-31;91.6;
2015-01-31;82.8;
2015-02-28;371.4;
2015-03-31;451;
2015-04-30;320;
2015-05-31;133.8;
2015-06-30;53.6;
2015-07-31;33.8;
2015-08-31;0;
2015-09-30;2.6;
2015-10-31;0;
2015-11-30;22.4;
2015-12-31;36;
2016-01-31;244.2;
2016-02-29;96.2;
2016-03-31;null;
2016-04-30;null;
2016-05-31;28.2;
2016-06-30;30.8;
2016-07-31;7.6;
2016-08-31;.6;
2016-09-30;12.2;
2016-10-31;null;
2016-11-30;1;
2016-12-31;null;
2017-01-31;null;
2017-02-28;137.8;
2017-03-31;285;
2017-04-30;367.6;
2017-05-31;165.2;
2017-06-30;37.6;
2017-07-31;3.6;
2017-08-31;0;
2017-09-30;0;
2017-10-31;9;
2017-11-30;2.6;
2017-12-31;108;
2018-01-31;113.2;
2018-02-28;425.4;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;25.4;
2018-09-30;3.2;
2018-10-31;20.8;
2018-11-30;75.2;
2018-12-31;126.6;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;13;
2019-07-31;16.8;
2019-08-31;0;
2019-09-30;3.8;
2019-10-31;18.6;
2019-11-30;47;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;326.8;
2020-04-30;605;
2020-05-31;97.4;
2020-06-30;30.6;
2020-07-31;9;
2020-08-31;.6;
2020-09-30;8;
2020-10-31;5.4;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;525.8;
2021-04-30;146.4;
2021-05-31;135;
2021-06-30;73.2;
2021-07-31;16;
2021-08-31;1.2;
2021-09-30;56.8;
2021-10-31;43.6;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

