Nome: COLINAS
Codigo Estacao: A222
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.37
Situacao: Pane
Data Inicial: 2008-06-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;0;
2008-08-31;6;
2008-09-30;44.2;
2008-10-31;7.8;
2008-11-30;89;
2008-12-31;108.2;
2009-01-31;229.8;
2009-02-28;231;
2009-03-31;188.6;
2009-04-30;385.8;
2009-05-31;215.8;
2009-06-30;4.8;
2009-07-31;1.6;
2009-08-31;7.8;
2009-09-30;.6;
2009-10-31;161;
2009-11-30;35.8;
2009-12-31;157.8;
2010-01-31;87.4;
2010-02-28;197;
2010-03-31;264.4;
2010-04-30;305.4;
2010-05-31;18.2;
2010-06-30;23.6;
2010-07-31;7.8;
2010-08-31;0;
2010-09-30;6.8;
2010-10-31;92.6;
2010-11-30;76.8;
2010-12-31;65.2;
2011-01-31;230.2;
2011-02-28;303;
2011-03-31;241.2;
2011-04-30;98.6;
2011-05-31;157.2;
2011-06-30;0;
2011-07-31;39.4;
2011-08-31;1;
2011-09-30;0;
2011-10-31;null;
2011-11-30;null;
2011-12-31;87.6;
2012-01-31;219.8;
2012-02-29;166.6;
2012-03-31;185;
2012-04-30;40.6;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;0;
2012-09-30;4.6;
2012-10-31;12.6;
2012-11-30;55.6;
2012-12-31;134;
2013-01-31;256.4;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;121.2;
2013-07-31;2.8;
2013-08-31;12.8;
2013-09-30;2;
2013-10-31;112;
2013-11-30;160.6;
2013-12-31;135;
2014-01-31;129.2;
2014-02-28;202;
2014-03-31;130.8;
2014-04-30;null;
2014-05-31;49.6;
2014-06-30;.8;
2014-07-31;0;
2014-08-31;24.6;
2014-09-30;12.8;
2014-10-31;63;
2014-11-30;27.4;
2014-12-31;154.4;
2015-01-31;73.4;
2015-02-28;168.8;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;1.2;
2015-08-31;.4;
2015-09-30;.2;
2015-10-31;42;
2015-11-30;11.6;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;86.2;
2016-06-30;6.6;
2016-07-31;22;
2016-08-31;0;
2016-09-30;45.4;
2016-10-31;24.2;
2016-11-30;null;
2016-12-31;null;
2017-01-31;226;
2017-02-28;null;
2017-03-31;null;
2017-04-30;82.6;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;null;
2017-11-30;64;
2017-12-31;76.8;
2018-01-31;null;
2018-02-28;null;
2018-03-31;182.6;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;0;
2018-09-30;54;
2018-10-31;45;
2018-11-30;113.6;
2018-12-31;109;
2019-01-31;67.4;
2019-02-28;null;
2019-03-31;null;
2019-04-30;65.4;
2019-05-31;57.8;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;95.8;
2020-03-31;null;
2020-04-30;50.8;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;1;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

