Nome: ESTREITO
Codigo Estacao: A224
Latitude: -6.65333333
Longitude: -47.41833332
Altitude: 182.96
Situacao: Pane
Data Inicial: 2008-02-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;383.8;
2008-04-30;188.2;
2008-05-31;179.8;
2008-06-30;0;
2008-07-31;0;
2008-08-31;6.2;
2008-09-30;23.4;
2008-10-31;53.8;
2008-11-30;148.8;
2008-12-31;95.8;
2009-01-31;138;
2009-02-28;212.6;
2009-03-31;140.8;
2009-04-30;486;
2009-05-31;278.8;
2009-06-30;4.4;
2009-07-31;16.8;
2009-08-31;31.6;
2009-09-30;7.8;
2009-10-31;77.4;
2009-11-30;44;
2009-12-31;180.2;
2010-01-31;227.2;
2010-02-28;224;
2010-03-31;141.8;
2010-04-30;110.2;
2010-05-31;35.8;
2010-06-30;61.6;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;0;
2010-11-30;0;
2010-12-31;0;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;10;
2011-06-30;5.4;
2011-07-31;4.6;
2011-08-31;4.8;
2011-09-30;2;
2011-10-31;110.6;
2011-11-30;167.6;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;95.6;
2012-05-31;54.4;
2012-06-30;30.4;
2012-07-31;36.2;
2012-08-31;0;
2012-09-30;11.4;
2012-10-31;127;
2012-11-30;269.2;
2012-12-31;117.6;
2013-01-31;298;
2013-02-28;120.8;
2013-03-31;170.8;
2013-04-30;73.4;
2013-05-31;112.6;
2013-06-30;46.6;
2013-07-31;7.8;
2013-08-31;3.4;
2013-09-30;31.8;
2013-10-31;86.8;
2013-11-30;122.8;
2013-12-31;197.8;
2014-01-31;178.2;
2014-02-28;230.2;
2014-03-31;278;
2014-04-30;373.4;
2014-05-31;35;
2014-06-30;.8;
2014-07-31;0;
2014-08-31;1.2;
2014-09-30;25.4;
2014-10-31;29.2;
2014-11-30;26.6;
2014-12-31;170.8;
2015-01-31;.2;
2015-02-28;null;
2015-03-31;107.6;
2015-04-30;79.6;
2015-05-31;120.4;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;29;
2015-12-31;127.4;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;42;
2016-06-30;7;
2016-07-31;.2;
2016-08-31;0;
2016-09-30;62.6;
2016-10-31;98.2;
2016-11-30;158;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;200.6;
2017-04-30;230.2;
2017-05-31;25.6;
2017-06-30;30.2;
2017-07-31;0;
2017-08-31;null;
2017-09-30;0;
2017-10-31;69.2;
2017-11-30;176.4;
2017-12-31;185.2;
2018-01-31;112.8;
2018-02-28;162.4;
2018-03-31;null;
2018-04-30;null;
2018-05-31;14.4;
2018-06-30;7.2;
2018-07-31;0;
2018-08-31;null;
2018-09-30;null;
2018-10-31;92.4;
2018-11-30;175.2;
2018-12-31;234.8;
2019-01-31;159.2;
2019-02-28;196.2;
2019-03-31;113.4;
2019-04-30;null;
2019-05-31;null;
2019-06-30;.6;
2019-07-31;3.6;
2019-08-31;0;
2019-09-30;2;
2019-10-31;5.8;
2019-11-30;0;
2019-12-31;12.2;
2020-01-31;1;
2020-02-29;0;
2020-03-31;5;
2020-04-30;390.2;
2020-05-31;7.4;
2020-06-30;.6;
2020-07-31;0;
2020-08-31;0;
2020-09-30;5.2;
2020-10-31;13;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

