Nome: IMPERATRIZ
Codigo Estacao: A225
Latitude: -5.555723
Longitude: -47.459794
Altitude: 117.96
Situacao: Operante
Data Inicial: 2008-02-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;null;
2008-04-30;260.8;
2008-05-31;186.8;
2008-06-30;.2;
2008-07-31;0;
2008-08-31;5.2;
2008-09-30;.2;
2008-10-31;30.6;
2008-11-30;145.6;
2008-12-31;318.2;
2009-01-31;281;
2009-02-28;288.6;
2009-03-31;181.4;
2009-04-30;484.6;
2009-05-31;323;
2009-06-30;8.8;
2009-07-31;0;
2009-08-31;20.6;
2009-09-30;5.2;
2009-10-31;63;
2009-11-30;23.6;
2009-12-31;103.6;
2010-01-31;250.2;
2010-02-28;235.4;
2010-03-31;159.8;
2010-04-30;298.6;
2010-05-31;186.8;
2010-06-30;24.2;
2010-07-31;13.6;
2010-08-31;7.8;
2010-09-30;4;
2010-10-31;114.6;
2010-11-30;107.2;
2010-12-31;195;
2011-01-31;408.4;
2011-02-28;325.2;
2011-03-31;288;
2011-04-30;134.4;
2011-05-31;null;
2011-06-30;.4;
2011-07-31;16.6;
2011-08-31;0;
2011-09-30;0;
2011-10-31;109.6;
2011-11-30;103.8;
2011-12-31;146.2;
2012-01-31;255.6;
2012-02-29;308.6;
2012-03-31;null;
2012-04-30;88.2;
2012-05-31;21.4;
2012-06-30;79;
2012-07-31;12;
2012-08-31;0;
2012-09-30;15.2;
2012-10-31;86;
2012-11-30;141.8;
2012-12-31;243.4;
2013-01-31;247.2;
2013-02-28;208.6;
2013-03-31;218.2;
2013-04-30;160.4;
2013-05-31;79.4;
2013-06-30;11.6;
2013-07-31;25.4;
2013-08-31;.4;
2013-09-30;50.8;
2013-10-31;51.4;
2013-11-30;60.6;
2013-12-31;50.4;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;0;
2014-05-31;null;
2014-06-30;0;
2014-07-31;0;
2014-08-31;18;
2014-09-30;4.6;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;134.6;
2015-02-28;16.2;
2015-03-31;128.4;
2015-04-30;144.6;
2015-05-31;72.8;
2015-06-30;4;
2015-07-31;9.2;
2015-08-31;0;
2015-09-30;5.6;
2015-10-31;57.8;
2015-11-30;22.8;
2015-12-31;null;
2016-01-31;115.2;
2016-02-29;137.6;
2016-03-31;158.8;
2016-04-30;99.8;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;200.6;
2017-01-31;132.6;
2017-02-28;67;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;13.4;
2017-08-31;37.4;
2017-09-30;3.6;
2017-10-31;27.2;
2017-11-30;120.4;
2017-12-31;209.8;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;51.4;
2018-06-30;5.4;
2018-07-31;.6;
2018-08-31;6.6;
2018-09-30;17;
2018-10-31;27.4;
2018-11-30;null;
2018-12-31;null;
2019-01-31;217.8;
2019-02-28;199;
2019-03-31;317.4;
2019-04-30;341;
2019-05-31;74.8;
2019-06-30;4;
2019-07-31;24.8;
2019-08-31;0;
2019-09-30;8.8;
2019-10-31;39.2;
2019-11-30;104.6;
2019-12-31;135.2;
2020-01-31;298;
2020-02-29;371.8;
2020-03-31;898.6;
2020-04-30;321.4;
2020-05-31;22.2;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;0;
2020-10-31;27;
2020-11-30;98.8;
2020-12-31;228.6;
2021-01-31;167;
2021-02-28;243.6;
2021-03-31;217.2;
2021-04-30;105.8;
2021-05-31;23.2;
2021-06-30;13.6;
2021-07-31;4.4;
2021-08-31;1.6;
2021-09-30;35;
2021-10-31;124.4;
2021-11-30;211.6;
2021-12-31;344.2;
2022-01-31;null;

