Nome: BREVES
Codigo Estacao: A228
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 11
Situacao: Pane
Data Inicial: 2017-10-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-10-31;null;
2017-11-30;64.6;
2017-12-31;257;
2018-01-31;320.6;
2018-02-28;269;
2018-03-31;301;
2018-04-30;306.4;
2018-05-31;298;
2018-06-30;229;
2018-07-31;62.6;
2018-08-31;84;
2018-09-30;78.2;
2018-10-31;41.4;
2018-11-30;155.6;
2018-12-31;406;
2019-01-31;318.4;
2019-02-28;304.8;
2019-03-31;367;
2019-04-30;438;
2019-05-31;204.2;
2019-06-30;201.8;
2019-07-31;116.8;
2019-08-31;80;
2019-09-30;38.8;
2019-10-31;78.2;
2019-11-30;41.4;
2019-12-31;222.6;
2020-01-31;340.6;
2020-02-29;415;
2020-03-31;286.6;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

