Nome: TUCURUI
Codigo Estacao: A229
Latitude: -3.82277777
Longitude: -49.67499999
Altitude: 137.94
Situacao: Pane
Data Inicial: 2008-02-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;null;
2008-04-30;443.8;
2008-05-31;271.6;
2008-06-30;101.6;
2008-07-31;16;
2008-08-31;77.4;
2008-09-30;47.2;
2008-10-31;74.6;
2008-11-30;97;
2008-12-31;221.4;
2009-01-31;368.4;
2009-02-28;375.4;
2009-03-31;572.4;
2009-04-30;672;
2009-05-31;454.6;
2009-06-30;150.2;
2009-07-31;42.6;
2009-08-31;6.6;
2009-09-30;10;
2009-10-31;31.6;
2009-11-30;42.6;
2009-12-31;350.6;
2010-01-31;404.4;
2010-02-28;348.2;
2010-03-31;15.8;
2010-04-30;345;
2010-05-31;186.6;
2010-06-30;74;
2010-07-31;28.6;
2010-08-31;12.8;
2010-09-30;19.2;
2010-10-31;83.2;
2010-11-30;85.8;
2010-12-31;265.6;
2011-01-31;519.4;
2011-02-28;293.2;
2011-03-31;209.2;
2011-04-30;493.2;
2011-05-31;219.8;
2011-06-30;null;
2011-07-31;57.6;
2011-08-31;null;
2011-09-30;13.4;
2011-10-31;86.6;
2011-11-30;182.4;
2011-12-31;66;
2012-01-31;541.2;
2012-02-29;425;
2012-03-31;367.8;
2012-04-30;109.8;
2012-05-31;50.6;
2012-06-30;44;
2012-07-31;59.6;
2012-08-31;1;
2012-09-30;null;
2012-10-31;null;
2012-11-30;101.6;
2012-12-31;364.2;
2013-01-31;295.2;
2013-02-28;214;
2013-03-31;92.2;
2013-04-30;70.8;
2013-05-31;64.8;
2013-06-30;78.4;
2013-07-31;76.4;
2013-08-31;23;
2013-09-30;46.6;
2013-10-31;111;
2013-11-30;57.6;
2013-12-31;67;
2014-01-31;436.4;
2014-02-28;127.6;
2014-03-31;null;
2014-04-30;319.6;
2014-05-31;269.6;
2014-06-30;null;
2014-07-31;null;
2014-08-31;23.6;
2014-09-30;6.8;
2014-10-31;63;
2014-11-30;62;
2014-12-31;165;
2015-01-31;421.2;
2015-02-28;87.6;
2015-03-31;.8;
2015-04-30;28.6;
2015-05-31;163.6;
2015-06-30;52.8;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;9;
2015-11-30;2;
2015-12-31;55.8;
2016-01-31;296;
2016-02-29;209.6;
2016-03-31;141.8;
2016-04-30;110.8;
2016-05-31;107;
2016-06-30;34;
2016-07-31;8.8;
2016-08-31;.2;
2016-09-30;24.8;
2016-10-31;31.4;
2016-11-30;95.4;
2016-12-31;104.2;
2017-01-31;617;
2017-02-28;503;
2017-03-31;171.2;
2017-04-30;297.4;
2017-05-31;139;
2017-06-30;57.6;
2017-07-31;18.6;
2017-08-31;48.4;
2017-09-30;.6;
2017-10-31;3.8;
2017-11-30;null;
2017-12-31;372;
2018-01-31;157.8;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;47.6;
2018-07-31;19;
2018-08-31;19.4;
2018-09-30;64.8;
2018-10-31;12;
2018-11-30;173;
2018-12-31;288.8;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;30.6;
2019-09-30;32;
2019-10-31;null;
2019-11-30;null;
2019-12-31;255.8;
2020-01-31;340.8;
2020-02-29;358.8;
2020-03-31;361.2;
2020-04-30;null;
2020-05-31;null;
2020-06-30;97.6;
2020-07-31;11.8;
2020-08-31;23;
2020-09-30;null;
2020-10-31;9.6;
2020-11-30;310.4;
2020-12-31;69.6;
2021-01-31;372.6;
2021-02-28;417.2;
2021-03-31;536.8;
2021-04-30;157.6;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

