Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.3386111
Longitude: -50.35027777
Altitude: 176.75
Situacao: Operante
Data Inicial: 2008-05-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-05-31;null;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;27.2;
2008-10-31;67;
2008-11-30;298.6;
2008-12-31;196.6;
2009-01-31;332.4;
2009-02-28;228.4;
2009-03-31;218.4;
2009-04-30;371.6;
2009-05-31;211;
2009-06-30;5.2;
2009-07-31;2.4;
2009-08-31;6;
2009-09-30;145.8;
2009-10-31;323.4;
2009-11-30;196.2;
2009-12-31;268;
2010-01-31;300.2;
2010-02-28;158.6;
2010-03-31;245.6;
2010-04-30;251.6;
2010-05-31;27.8;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;.8;
2010-10-31;154.4;
2010-11-30;213.4;
2010-12-31;273.8;
2011-01-31;384.4;
2011-02-28;358.8;
2011-03-31;232.8;
2011-04-30;233.8;
2011-05-31;71;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;0;
2011-10-31;307.2;
2011-11-30;355;
2011-12-31;376.4;
2012-01-31;365.6;
2012-02-29;210.6;
2012-03-31;226;
2012-04-30;138.2;
2012-05-31;91.6;
2012-06-30;29;
2012-07-31;9.6;
2012-08-31;0;
2012-09-30;5.2;
2012-10-31;null;
2012-11-30;null;
2012-12-31;235.2;
2013-01-31;478;
2013-02-28;181;
2013-03-31;223;
2013-04-30;147.2;
2013-05-31;23.6;
2013-06-30;null;
2013-07-31;.2;
2013-08-31;0;
2013-09-30;12.4;
2013-10-31;null;
2013-11-30;null;
2013-12-31;309.4;
2014-01-31;314.4;
2014-02-28;442.4;
2014-03-31;233.6;
2014-04-30;225.4;
2014-05-31;43.6;
2014-06-30;.4;
2014-07-31;0;
2014-08-31;0;
2014-09-30;60.4;
2014-10-31;156;
2014-11-30;139.6;
2014-12-31;323.8;
2015-01-31;189.6;
2015-02-28;207.6;
2015-03-31;282.6;
2015-04-30;107.8;
2015-05-31;71;
2015-06-30;0;
2015-07-31;26.2;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;109.2;
2016-01-31;668.8;
2016-02-29;101.4;
2016-03-31;307.2;
2016-04-30;99.8;
2016-05-31;21.6;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;253.8;
2016-12-31;197;
2017-01-31;143.2;
2017-02-28;495.4;
2017-03-31;205.4;
2017-04-30;262.2;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;78.4;
2017-11-30;60.2;
2017-12-31;399;
2018-01-31;244.8;
2018-02-28;331.6;
2018-03-31;387.8;
2018-04-30;113.2;
2018-05-31;22.4;
2018-06-30;0;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;236.6;
2019-01-31;174.8;
2019-02-28;166;
2019-03-31;407.4;
2019-04-30;127.4;
2019-05-31;83.6;
2019-06-30;.4;
2019-07-31;0;
2019-08-31;0;
2019-09-30;49.2;
2019-10-31;257.6;
2019-11-30;208.6;
2019-12-31;189.4;
2020-01-31;166.2;
2020-02-29;179.8;
2020-03-31;343.4;
2020-04-30;144.2;
2020-05-31;32.4;
2020-06-30;.2;
2020-07-31;0;
2020-08-31;4.6;
2020-09-30;12.2;
2020-10-31;107.2;
2020-11-30;214.6;
2020-12-31;274;
2021-01-31;200.2;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

