Nome: CAMETA
Codigo Estacao: A236
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.92
Situacao: Pane
Data Inicial: 2008-06-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;75;
2008-08-31;39.6;
2008-09-30;133.2;
2008-10-31;39;
2008-11-30;72.2;
2008-12-31;160;
2009-01-31;291;
2009-02-28;334;
2009-03-31;593.6;
2009-04-30;399.4;
2009-05-31;232.6;
2009-06-30;.4;
2009-07-31;.6;
2009-08-31;0;
2009-09-30;0;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;0;
2010-05-31;0;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;0;
2010-11-30;0;
2010-12-31;0;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;61.2;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;285;
2012-04-30;383.6;
2012-05-31;179.4;
2012-06-30;97.2;
2012-07-31;86.6;
2012-08-31;55;
2012-09-30;16.2;
2012-10-31;50.2;
2012-11-30;3;
2012-12-31;314.6;
2013-01-31;284.2;
2013-02-28;378.6;
2013-03-31;374.2;
2013-04-30;435.8;
2013-05-31;368;
2013-06-30;192.6;
2013-07-31;152.4;
2013-08-31;62.4;
2013-09-30;51.2;
2013-10-31;41.8;
2013-11-30;172.4;
2013-12-31;45.2;
2014-01-31;444.4;
2014-02-28;335.6;
2014-03-31;423.2;
2014-04-30;379.2;
2014-05-31;340.2;
2014-06-30;168.4;
2014-07-31;172.4;
2014-08-31;58;
2014-09-30;40.8;
2014-10-31;null;
2014-11-30;null;
2014-12-31;90.2;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;233.6;
2015-06-30;169.8;
2015-07-31;130.6;
2015-08-31;37.4;
2015-09-30;38;
2015-10-31;2;
2015-11-30;17.8;
2015-12-31;49.8;
2016-01-31;323.2;
2016-02-29;281.2;
2016-03-31;null;
2016-04-30;454.4;
2016-05-31;307.4;
2016-06-30;125.4;
2016-07-31;71.4;
2016-08-31;27.6;
2016-09-30;65.2;
2016-10-31;36.2;
2016-11-30;53.8;
2016-12-31;646.2;
2017-01-31;null;
2017-02-28;598.2;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;112.2;
2017-07-31;52.4;
2017-08-31;18.8;
2017-09-30;77.8;
2017-10-31;26;
2017-11-30;0;
2017-12-31;234.2;
2018-01-31;258.4;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;300.6;
2018-06-30;154.2;
2018-07-31;182.8;
2018-08-31;124.8;
2018-09-30;20;
2018-10-31;5;
2018-11-30;240.6;
2018-12-31;420;
2019-01-31;543.4;
2019-02-28;444.8;
2019-03-31;500.2;
2019-04-30;688.6;
2019-05-31;384;
2019-06-30;146.4;
2019-07-31;111;
2019-08-31;37.4;
2019-09-30;17;
2019-10-31;31.2;
2019-11-30;87.4;
2019-12-31;195.6;
2020-01-31;474.8;
2020-02-29;493.8;
2020-03-31;413.8;
2020-04-30;493.8;
2020-05-31;null;
2020-06-30;205;
2020-07-31;49.6;
2020-08-31;25.4;
2020-09-30;63;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

