Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2009-06-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-06-30;null;
2009-07-31;43.6;
2009-08-31;2.4;
2009-09-30;12.4;
2009-10-31;76.2;
2009-11-30;87;
2009-12-31;187.2;
2010-01-31;253.6;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;94.4;
2010-06-30;32.4;
2010-07-31;.2;
2010-08-31;14;
2010-09-30;11.4;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;375.6;
2011-02-28;257.6;
2011-03-31;368.2;
2011-04-30;322.6;
2011-05-31;172.6;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;0;
2011-10-31;44.2;
2011-11-30;207.6;
2011-12-31;65.4;
2012-01-31;279.4;
2012-02-29;276;
2012-03-31;236;
2012-04-30;137.6;
2012-05-31;76.6;
2012-06-30;38.6;
2012-07-31;20.8;
2012-08-31;.2;
2012-09-30;20.4;
2012-10-31;17;
2012-11-30;57.8;
2012-12-31;139.8;
2013-01-31;114.4;
2013-02-28;97;
2013-03-31;119;
2013-04-30;112.8;
2013-05-31;53.2;
2013-06-30;null;
2013-07-31;4;
2013-08-31;2.8;
2013-09-30;27.6;
2013-10-31;54;
2013-11-30;21.6;
2013-12-31;24.4;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;0;
2014-07-31;0;
2014-08-31;null;
2014-09-30;null;
2014-10-31;42.6;
2014-11-30;103;
2014-12-31;367.4;
2015-01-31;null;
2015-02-28;246.2;
2015-03-31;414.6;
2015-04-30;129.8;
2015-05-31;58.8;
2015-06-30;10.6;
2015-07-31;60;
2015-08-31;16.8;
2015-09-30;9.8;
2015-10-31;10.8;
2015-11-30;null;
2015-12-31;null;
2016-01-31;4.8;
2016-02-29;147.4;
2016-03-31;null;
2016-04-30;null;
2016-05-31;94;
2016-06-30;24.6;
2016-07-31;14.8;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;135.6;
2017-01-31;267.2;
2017-02-28;487.2;
2017-03-31;359.2;
2017-04-30;265.6;
2017-05-31;114;
2017-06-30;8.2;
2017-07-31;12.8;
2017-08-31;null;
2017-09-30;6.6;
2017-10-31;41.4;
2017-11-30;382.2;
2017-12-31;220.8;
2018-01-31;185;
2018-02-28;427.6;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;1.6;
2018-07-31;.4;
2018-08-31;14.8;
2018-09-30;34.6;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;344.8;
2019-02-28;240.6;
2019-03-31;403.6;
2019-04-30;205.4;
2019-05-31;216.8;
2019-06-30;3;
2019-07-31;35.8;
2019-08-31;0;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;102.2;
2020-01-31;311;
2020-02-29;237.8;
2020-03-31;292.4;
2020-04-30;287.6;
2020-05-31;59.8;
2020-06-30;10.2;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;216.8;
2021-02-28;447.4;
2021-03-31;329.4;
2021-04-30;205.6;
2021-05-31;95.4;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

