Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2008-09-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;52;
2008-11-30;163.2;
2008-12-31;300.6;
2009-01-31;118.8;
2009-02-28;271;
2009-03-31;298.6;
2009-04-30;368.8;
2009-05-31;302.8;
2009-06-30;20.8;
2009-07-31;3;
2009-08-31;21.4;
2009-09-30;46.8;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;210.2;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;167.2;
2010-11-30;184;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;270.8;
2011-05-31;62.4;
2011-06-30;0;
2011-07-31;0;
2011-08-31;21.6;
2011-09-30;0;
2011-10-31;158.8;
2011-11-30;249;
2011-12-31;197.2;
2012-01-31;296.2;
2012-02-29;180.2;
2012-03-31;181.4;
2012-04-30;123.4;
2012-05-31;178.8;
2012-06-30;16;
2012-07-31;.2;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;204.6;
2013-01-31;303.6;
2013-02-28;149;
2013-03-31;370.2;
2013-04-30;183.6;
2013-05-31;81.4;
2013-06-30;28.8;
2013-07-31;0;
2013-08-31;.8;
2013-09-30;1.8;
2013-10-31;null;
2013-11-30;21.2;
2013-12-31;74.4;
2014-01-31;null;
2014-02-28;64;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;.4;
2014-08-31;13.2;
2014-09-30;32.2;
2014-10-31;25.2;
2014-11-30;35.8;
2014-12-31;171.2;
2015-01-31;68.8;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;.2;
2015-07-31;9.4;
2015-08-31;4.8;
2015-09-30;3.2;
2015-10-31;null;
2015-11-30;null;
2015-12-31;228.6;
2016-01-31;341.2;
2016-02-29;85;
2016-03-31;335.8;
2016-04-30;43.2;
2016-05-31;51.2;
2016-06-30;33.6;
2016-07-31;0;
2016-08-31;.8;
2016-09-30;80.8;
2016-10-31;53;
2016-11-30;100.2;
2016-12-31;235;
2017-01-31;260.6;
2017-02-28;276.8;
2017-03-31;210.6;
2017-04-30;54.8;
2017-05-31;18.6;
2017-06-30;6.8;
2017-07-31;0;
2017-08-31;0;
2017-09-30;0;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;227;
2018-05-31;20.8;
2018-06-30;16;
2018-07-31;5;
2018-08-31;2.4;
2018-09-30;66.6;
2018-10-31;51.8;
2018-11-30;70.2;
2018-12-31;347.2;
2019-01-31;201.6;
2019-02-28;197;
2019-03-31;241.8;
2019-04-30;280.6;
2019-05-31;44.2;
2019-06-30;null;
2019-07-31;null;
2019-08-31;1;
2019-09-30;37.4;
2019-10-31;168.4;
2019-11-30;146;
2019-12-31;229.4;
2020-01-31;151.2;
2020-02-29;257.6;
2020-03-31;318.2;
2020-04-30;232.2;
2020-05-31;63.4;
2020-06-30;13.4;
2020-07-31;0;
2020-08-31;0;
2020-09-30;14;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;166.6;
2021-02-28;377.2;
2021-03-31;147;
2021-04-30;182.6;
2021-05-31;23;
2021-06-30;1.2;
2021-07-31;0;
2021-08-31;2.2;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

