Nome: OIAPOQUE
Codigo Estacao: A242
Latitude: 3.81361111
Longitude: -51.8625
Altitude: 15.14
Situacao: Pane
Data Inicial: 2008-09-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;5.6;
2008-11-30;17.6;
2008-12-31;286;
2009-01-31;670.8;
2009-02-28;586.4;
2009-03-31;228.6;
2009-04-30;129.4;
2009-05-31;155.6;
2009-06-30;281.2;
2009-07-31;161.2;
2009-08-31;48.8;
2009-09-30;8.8;
2009-10-31;20.4;
2009-11-30;125.4;
2009-12-31;372.4;
2010-01-31;405.2;
2010-02-28;454.2;
2010-03-31;385.2;
2010-04-30;403.8;
2010-05-31;616.4;
2010-06-30;287.2;
2010-07-31;219.6;
2010-08-31;126.6;
2010-09-30;null;
2010-10-31;null;
2010-11-30;107.2;
2010-12-31;446.6;
2011-01-31;462.6;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;114.8;
2011-12-31;176;
2012-01-31;497.8;
2012-02-29;537.4;
2012-03-31;298.2;
2012-04-30;454.4;
2012-05-31;329.2;
2012-06-30;226.6;
2012-07-31;107.6;
2012-08-31;107.4;
2012-09-30;18.2;
2012-10-31;12.2;
2012-11-30;39.8;
2012-12-31;188.6;
2013-01-31;211.4;
2013-02-28;514.2;
2013-03-31;278;
2013-04-30;350.2;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;445.8;
2014-02-28;31.8;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;6.2;
2014-10-31;26.4;
2014-11-30;12.4;
2014-12-31;null;
2015-01-31;0;
2015-02-28;null;
2015-03-31;null;
2015-04-30;0;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;75.2;
2015-09-30;9.4;
2015-10-31;24.2;
2015-11-30;67;
2015-12-31;229.6;
2016-01-31;147.6;
2016-02-29;411.6;
2016-03-31;330.2;
2016-04-30;650.2;
2016-05-31;389.6;
2016-06-30;338.4;
2016-07-31;160.2;
2016-08-31;61.2;
2016-09-30;19.6;
2016-10-31;1.6;
2016-11-30;33.2;
2016-12-31;455.4;
2017-01-31;518.8;
2017-02-28;469;
2017-03-31;652.8;
2017-04-30;440.8;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;17;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;242.6;
2018-08-31;32;
2018-09-30;30.4;
2018-10-31;23.8;
2018-11-30;257.6;
2018-12-31;549.8;
2019-01-31;297.8;
2019-02-28;166.6;
2019-03-31;43.4;
2019-04-30;370;
2019-05-31;518.6;
2019-06-30;332.8;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

