Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2008-09-06
Data Final: 2018-06-23
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;33.6;
2008-11-30;9;
2008-12-31;160.2;
2009-01-31;362;
2009-02-28;602.2;
2009-03-31;330.4;
2009-04-30;142.6;
2009-05-31;508.6;
2009-06-30;298.2;
2009-07-31;68.4;
2009-08-31;63.4;
2009-09-30;7.6;
2009-10-31;32.2;
2009-11-30;2.6;
2009-12-31;462.2;
2010-01-31;496.4;
2010-02-28;479.4;
2010-03-31;374.2;
2010-04-30;394.8;
2010-05-31;293.8;
2010-06-30;175.8;
2010-07-31;179.2;
2010-08-31;111.4;
2010-09-30;33.6;
2010-10-31;52;
2010-11-30;67.6;
2010-12-31;221.8;
2011-01-31;313.4;
2011-02-28;692.2;
2011-03-31;359.4;
2011-04-30;546.8;
2011-05-31;463.8;
2011-06-30;77.8;
2011-07-31;23.2;
2011-08-31;5;
2011-09-30;24.2;
2011-10-31;197.2;
2011-11-30;63.4;
2011-12-31;71.2;
2012-01-31;544.2;
2012-02-29;600.2;
2012-03-31;303.4;
2012-04-30;209;
2012-05-31;318;
2012-06-30;177.2;
2012-07-31;123.8;
2012-08-31;124.4;
2012-09-30;8.6;
2012-10-31;3.4;
2012-11-30;22.2;
2012-12-31;171.6;
2013-01-31;413.6;
2013-02-28;163;
2013-03-31;78.6;
2013-04-30;116.8;
2013-05-31;39;
2013-06-30;45;
2013-07-31;50;
2013-08-31;12;
2013-09-30;4;
2013-10-31;53.2;
2013-11-30;67.6;
2013-12-31;259.4;
2014-01-31;322;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;15;
2014-11-30;4.6;
2014-12-31;105.6;
2015-01-31;170.6;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;12.6;
2015-09-30;0;
2015-10-31;6.8;
2015-11-30;6;
2015-12-31;181;
2016-01-31;413.8;
2016-02-29;372.6;
2016-03-31;305;
2016-04-30;539;
2016-05-31;220.4;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;32.4;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;12.4;
2017-10-31;11;
2017-11-30;16.4;
2017-12-31;46.4;
2018-01-31;null;
2018-02-28;null;
2018-03-31;383.2;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;

