Nome: MINA DO PALITO
Codigo Estacao: A246
Latitude: -6.31999999
Longitude: -55.78777777
Altitude: 259.88
Situacao: Pane
Data Inicial: 2010-09-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;165.4;
2011-11-30;416.8;
2011-12-31;229.8;
2012-01-31;617.6;
2012-02-29;415.2;
2012-03-31;312.8;
2012-04-30;145.6;
2012-05-31;189.2;
2012-06-30;60.2;
2012-07-31;42.2;
2012-08-31;5;
2012-09-30;67.6;
2012-10-31;98.8;
2012-11-30;399.2;
2012-12-31;199.4;
2013-01-31;279.6;
2013-02-28;270;
2013-03-31;310.6;
2013-04-30;165.8;
2013-05-31;109.2;
2013-06-30;66.8;
2013-07-31;55.6;
2013-08-31;65.2;
2013-09-30;78.2;
2013-10-31;null;
2013-11-30;66.6;
2013-12-31;291.2;
2014-01-31;109.4;
2014-02-28;284;
2014-03-31;null;
2014-04-30;231;
2014-05-31;74;
2014-06-30;null;
2014-07-31;1.4;
2014-08-31;5.8;
2014-09-30;2.8;
2014-10-31;0;
2014-11-30;152.8;
2014-12-31;null;
2015-01-31;132.8;
2015-02-28;58.2;
2015-03-31;371.8;
2015-04-30;173;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;13.4;
2016-01-31;152.2;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;43;
2016-09-30;12.2;
2016-10-31;212.8;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;6.2;
2017-09-30;null;
2017-10-31;185.4;
2017-11-30;259.4;
2017-12-31;126;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;1.6;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;22.2;
2019-08-31;5;
2019-09-30;109.2;
2019-10-31;109.2;
2019-11-30;264.8;
2019-12-31;186.2;
2020-01-31;347.6;
2020-02-29;268.4;
2020-03-31;388.4;
2020-04-30;269.4;
2020-05-31;184;
2020-06-30;24.6;
2020-07-31;11;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

