Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.110518
Longitude: -49.926072
Altitude: 245
Situacao: Operante
Data Inicial: 2016-09-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-09-30;null;
2016-10-31;59.2;
2016-11-30;53;
2016-12-31;158.8;
2017-01-31;209.6;
2017-02-28;376.4;
2017-03-31;273.2;
2017-04-30;203.4;
2017-05-31;68.8;
2017-06-30;22.4;
2017-07-31;.6;
2017-08-31;0;
2017-09-30;0;
2017-10-31;138.4;
2017-11-30;167.8;
2017-12-31;207.2;
2018-01-31;199.2;
2018-02-28;605.8;
2018-03-31;294.4;
2018-04-30;167.4;
2018-05-31;78.4;
2018-06-30;0;
2018-07-31;.6;
2018-08-31;42.2;
2018-09-30;25.8;
2018-10-31;173;
2018-11-30;null;
2018-12-31;null;
2019-01-31;210.6;
2019-02-28;280.2;
2019-03-31;345.4;
2019-04-30;167.4;
2019-05-31;56;
2019-06-30;14.4;
2019-07-31;21.4;
2019-08-31;5.6;
2019-09-30;124.6;
2019-10-31;198;
2019-11-30;138.6;
2019-12-31;239;
2020-01-31;205.2;
2020-02-29;281;
2020-03-31;359;
2020-04-30;278.6;
2020-05-31;127.4;
2020-06-30;12.4;
2020-07-31;0;
2020-08-31;9;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;94.8;
2021-02-28;448.2;
2021-03-31;336.6;
2021-04-30;156;
2021-05-31;65.8;
2021-06-30;38;
2021-07-31;0;
2021-08-31;5;
2021-09-30;73.6;
2021-10-31;70.2;
2021-11-30;212.6;
2021-12-31;313.8;
2022-01-31;null;

